IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
32658708,1,1,1,DEPLOYED-FRONT,
32658708,1,2,1,DEPLOYED-FRONT,
32658708,1,3,1,INSTALLED/NOT DEPLOYED,
32658708,1,4,1,INSTALLED/NOT DEPLOYED,
32658708,2,5,1,INSTALLED/NOT DEPLOYED,
32658708,2,6,1,INSTALLED/NOT DEPLOYED,
32658708,2,7,1,INSTALLED/NOT DEPLOYED,
32658708,3,8,1,INSTALLED/NOT DEPLOYED,
32658708,3,9,1,INSTALLED/NOT DEPLOYED,
32659228,2,1,1,INSTALLED/NOT DEPLOYED,
32672935,2,1,1,INSTALLED/NOT DEPLOYED,
32676655,1,1,1,INSTALLED/NOT DEPLOYED,
32676655,1,2,1,INSTALLED/NOT DEPLOYED,
32676655,2,3,1,INSTALLED/NOT DEPLOYED,
32682385,1,2,1,INSTALLED/NOT DEPLOYED,
32682385,2,4,1,INSTALLED/NOT DEPLOYED,
32686833,1,1,1,DEPLOYED-COMBINATION,
32686833,1,2,1,DEPLOYED-COMBINATION,
32686833,1,3,1,DEPLOYED-COMBINATION,
32686843,2,1,1,INSTALLED/NOT DEPLOYED,
32700076,1,1,1,INSTALLED/NOT DEPLOYED,
32702194,1,1,1,INSTALLED/NOT DEPLOYED,
32702194,2,3,1,INSTALLED/NOT DEPLOYED,
32702194,2,4,1,INSTALLED/NOT DEPLOYED,
32709294,1,1,1,DEPLOYED-COMBINATION,
32709294,1,1,2,DEPLOYED-CURTAIN,
32709294,1,1,3,DEPLOYED-FRONT,
32709294,1,1,4,DEPLOYED-OTHER (KneeAir beltetc.),
32709294,1,1,5,DEPLOYED-SIDE,
32709294,2,3,1,INSTALLED/NOT DEPLOYED,
32709983,1,1,1,INSTALLED/NOT DEPLOYED,
32709983,2,3,1,INSTALLED/NOT DEPLOYED,
32714074,1,1,1,INSTALLED/NOT DEPLOYED,
32714074,2,2,1,INSTALLED/NOT DEPLOYED,
32716413,1,1,1,INSTALLED/NOT DEPLOYED,
32716413,2,3,1,INSTALLED/NOT DEPLOYED,
32716413,2,4,1,DEPLOYED-FRONT,
32717185,1,1,1,DEPLOYED-COMBINATION,
32717185,1,2,1,DEPLOYED-COMBINATION,
32728816,1,2,1,DEPLOYED-COMBINATION,
32731794,1,1,1,INSTALLED/NOT DEPLOYED,
32731794,2,2,1,INSTALLED/NOT DEPLOYED,
32733964,1,1,1,INSTALLED/NOT DEPLOYED,
32733964,2,2,1,INSTALLED/NOT DEPLOYED,
32733997,1,1,1,INSTALLED/NOT DEPLOYED,
32733997,2,2,1,INSTALLED/NOT DEPLOYED,
32747062,1,1,1,INSTALLED/NOT DEPLOYED,
32747062,2,3,1,INSTALLED/NOT DEPLOYED,
32750312,1,1,1,DEPLOYED-FRONT,
32750312,1,1,2,DEPLOYED-OTHER (KneeAir beltetc.),
32750312,1,1,3,DEPLOYED-SIDE,
32750312,1,2,1,DEPLOYED-CURTAIN,
32750312,1,2,2,DEPLOYED-FRONT,
32750312,1,2,3,DEPLOYED-OTHER (KneeAir beltetc.),
32750312,1,2,4,DEPLOYED-SIDE,
32750312,1,3,1,DEPLOYED-CURTAIN,
32750312,1,3,2,DEPLOYED-FRONT,
32750312,1,3,3,DEPLOYED-OTHER (KneeAir beltetc.),
32750312,1,3,4,DEPLOYED-SIDE,
32750402,1,1,1,INSTALLED/NOT DEPLOYED,
32750402,1,2,1,INSTALLED/NOT DEPLOYED,
32750402,2,3,1,INSTALLED/NOT DEPLOYED,
32750402,2,5,1,NOT INSTALLED,
32750402,2,6,1,NOT INSTALLED,
32750402,2,7,1,NOT INSTALLED,
32750402,2,8,1,NOT INSTALLED,
