IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
27633727,1,1,1,INSTALLED/NOT DEPLOYED,
27633727,1,2,1,INSTALLED/NOT DEPLOYED,
27633727,2,3,1,INSTALLED/NOT DEPLOYED,
27633727,2,4,1,INSTALLED/NOT DEPLOYED,
27644642,2,1,1,INSTALLED/NOT DEPLOYED,
27657115,1,1,1,NOT INSTALLED,
27657830,1,1,1,INSTALLED/NOT DEPLOYED,
27657830,2,3,1,INSTALLED/NOT DEPLOYED,
27657830,2,4,1,INSTALLED/NOT DEPLOYED,
27657891,1,1,1,INSTALLED/NOT DEPLOYED,
27657891,2,2,1,INSTALLED/NOT DEPLOYED,
27661484,1,1,1,INSTALLED/NOT DEPLOYED,
27661484,2,2,1,INSTALLED/NOT DEPLOYED,
27662939,1,1,1,INSTALLED/NOT DEPLOYED,
27662939,2,2,1,INSTALLED/NOT DEPLOYED,
27662943,1,1,1,INSTALLED/NOT DEPLOYED,
27662943,1,2,1,INSTALLED/NOT DEPLOYED,
27662943,2,3,1,INSTALLED/NOT DEPLOYED,
27662943,2,4,1,INSTALLED/NOT DEPLOYED,
27666327,1,1,1,INSTALLED/NOT DEPLOYED,
27666327,2,2,1,INSTALLED/NOT DEPLOYED,
27682458,1,1,1,INSTALLED/NOT DEPLOYED,
27682458,2,3,1,NOT INSTALLED,
27682458,2,4,1,NOT INSTALLED,
27685188,1,1,1,INSTALLED/NOT DEPLOYED,
27685188,1,2,1,INSTALLED/NOT DEPLOYED,
27685188,2,3,1,INSTALLED/NOT DEPLOYED,
27685188,2,4,1,INSTALLED/NOT DEPLOYED,
27686525,1,1,1,INSTALLED/NOT DEPLOYED,
27686525,2,2,1,NOT INSTALLED,
27687005,1,1,1,INSTALLED/NOT DEPLOYED,
27687005,2,2,1,INSTALLED/NOT DEPLOYED,
27691094,1,2,1,INSTALLED/NOT DEPLOYED,
27692183,1,1,1,INSTALLED/NOT DEPLOYED,
27692183,2,2,1,INSTALLED/NOT DEPLOYED,
27692183,2,3,1,INSTALLED/NOT DEPLOYED,
27693544,1,1,1,INSTALLED/NOT DEPLOYED,
27693544,2,2,1,INSTALLED/NOT DEPLOYED,
27693544,2,3,1,INSTALLED/NOT DEPLOYED,
27693544,2,4,1,INSTALLED/NOT DEPLOYED,
27699159,1,1,1,INSTALLED/NOT DEPLOYED,
27699159,2,3,1,INSTALLED/NOT DEPLOYED,
27700265,1,1,1,INSTALLED/NOT DEPLOYED,
27700265,2,3,1,NOT INSTALLED,
27708842,1,1,1,INSTALLED/NOT DEPLOYED,
27708842,2,2,1,INSTALLED/NOT DEPLOYED,
27710028,1,1,1,INSTALLED/NOT DEPLOYED,
27710028,2,2,1,INSTALLED/NOT DEPLOYED,
27710028,2,3,1,INSTALLED/NOT DEPLOYED,
27716573,1,1,1,INSTALLED/NOT DEPLOYED,
27716573,1,2,1,INSTALLED/NOT DEPLOYED,
27716573,2,3,1,INSTALLED/NOT DEPLOYED,
27716573,2,4,1,INSTALLED/NOT DEPLOYED,
27716573,3,5,1,INSTALLED/NOT DEPLOYED,
27716573,3,6,1,INSTALLED/NOT DEPLOYED,
27716573,3,8,1,INSTALLED/NOT DEPLOYED,
27717820,1,1,1,INSTALLED/NOT DEPLOYED,
27717820,1,2,1,INSTALLED/NOT DEPLOYED,
27717820,2,3,1,NOT INSTALLED,
27726457,1,1,1,INSTALLED/NOT DEPLOYED,
27726457,1,2,1,INSTALLED/NOT DEPLOYED,
27726457,1,3,1,INSTALLED/NOT DEPLOYED,
27726457,1,4,1,INSTALLED/NOT DEPLOYED,
27726457,2,5,1,INSTALLED/NOT DEPLOYED,
27726457,3,6,1,INSTALLED/NOT DEPLOYED,
27726993,1,1,1,DEPLOYED-COMBINATION,
27726993,2,2,1,NOT INSTALLED,
27726993,2,3,1,NOT INSTALLED,
27731417,1,1,1,DEPLOYED-SIDE,
27731417,2,3,1,DEPLOYED-CURTAIN,
27731417,2,3,2,DEPLOYED-FRONT,
27734462,1,1,1,NOT INSTALLED,
27734462,2,3,1,INSTALLED/NOT DEPLOYED,
27734884,1,1,1,DEPLOYED-COMBINATION,
27747267,1,1,1,INSTALLED/NOT DEPLOYED,
27747267,1,3,1,INSTALLED/NOT DEPLOYED,
27747267,1,4,1,INSTALLED/NOT DEPLOYED,
27747422,1,1,1,INSTALLED/NOT DEPLOYED,
27747422,2,2,1,INSTALLED/NOT DEPLOYED,
27747784,1,1,1,DEPLOYED-FRONT,
27747784,2,2,1,INSTALLED/NOT DEPLOYED,
27753228,1,1,1,NOT INSTALLED,
27753228,2,2,1,INSTALLED/NOT DEPLOYED,
27765059,1,2,1,DEPLOYED-FRONT,
27766333,2,1,1,INSTALLED/NOT DEPLOYED,
27768049,2,1,1,INSTALLED/NOT DEPLOYED,
27768049,2,2,1,NOT INSTALLED,
27768049,2,3,1,INSTALLED/NOT DEPLOYED,
27771768,1,1,1,INSTALLED/NOT DEPLOYED,
27771768,2,2,1,INSTALLED/NOT DEPLOYED,
27771768,3,3,1,INSTALLED/NOT DEPLOYED,
27771768,3,4,1,INSTALLED/NOT DEPLOYED,
27772309,1,1,1,INSTALLED/NOT DEPLOYED,
27772309,2,2,1,INSTALLED/NOT DEPLOYED,
27795926,1,1,1,INSTALLED/NOT DEPLOYED,
27803929,1,1,1,INSTALLED/NOT DEPLOYED,
27803929,2,2,1,INSTALLED/NOT DEPLOYED,
27803929,2,3,1,INSTALLED/NOT DEPLOYED,
27803929,2,4,1,INSTALLED/NOT DEPLOYED,
27805998,1,1,1,INSTALLED/NOT DEPLOYED,
27805998,1,2,1,INSTALLED/NOT DEPLOYED,
27821738,1,1,1,INSTALLED/NOT DEPLOYED,
27821738,1,2,1,INSTALLED/NOT DEPLOYED,
27821738,2,3,1,INSTALLED/NOT DEPLOYED,
27821738,2,4,1,INSTALLED/NOT DEPLOYED,
27824449,1,1,1,DEPLOYED-FRONT,
27824449,2,3,1,INSTALLED/NOT DEPLOYED,
27829228,1,1,1,INSTALLED/NOT DEPLOYED,
27829228,2,3,1,INSTALLED/NOT DEPLOYED,
27829632,1,2,1,DEPLOYED-FRONT,
27829632,1,3,1,DEPLOYED-FRONT,
27833575,1,2,1,NOT INSTALLED,
27836876,1,1,1,DEPLOYED-FRONT,
27836876,1,2,1,DEPLOYED-FRONT,
27857986,1,1,1,INSTALLED/NOT DEPLOYED,
27857986,2,3,1,INSTALLED/NOT DEPLOYED,
27857986,2,4,1,INSTALLED/NOT DEPLOYED,
27858489,1,1,1,NOT INSTALLED,
27858489,2,3,1,NOT INSTALLED,
27858489,2,4,1,NOT INSTALLED,
27858489,2,5,1,NOT INSTALLED,
27858489,2,6,1,NOT INSTALLED,
