IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
28372230,3,FARM TRACTOR &/OR FARM EQUIPMENT,03,False,,DL,05,,False,12,01,True,CAT,FE,,CATERPILLAR,CATERPILLAR,
28366954,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,16,01,,,,,,,
28246141,2,HIT & RUN/UNKNOWN,,True,,UN,,,False,03,,,,,,,,
28286615,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,05,01,,,,,,,
28301860,2,HIT & RUN/UNKNOWN,01,False,,UN,05,,False,05,01,,,,,,,
28304441,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,13,01,,,,,,,
28198604,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,11,01,,,,,,,
28126747,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,11,01,,,,,,,
28112451,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,03,01,,,,,,,
29175499,3,HIT & RUN/UNKNOWN,,False,,UN,,,False,05,,,,,,,,
28902475,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,03,01,,,,,,,
28902552,1,HIT & RUN/UNKNOWN,03,True,,UN,,,False,05,01,False,,,,,,
28899617,1,HIT & RUN/UNKNOWN,01,True,,UN,05,,False,03,01,,,,,,,
28559094,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,98,98,,,,,,,
28594732,5,HIT & RUN/UNKNOWN,,False,,UN,05,,False,16,01,,,,,,,
28627219,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,03,01,,,,,,,
28662786,1,HIT & RUN/UNKNOWN,,False,,UN,,,False,03,,,,,,,,
28674070,2,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
28679353,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,05,01,,,,,,,
28759669,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,98,01,,NISS,MAX,,NISSAN,MAXIMA,
29187002,3,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,98,False,UNKN,,,UNKNOWN,,
29309184,1,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
29355325,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,46,,False,13,01,True,TOYT,HGH,,TOYOTA,HIGHLANDER,
28739049,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,10,01,,,,,,,
28902475,3,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,CHEV,2CC,,CHEVROLET,2 DOOR CONVENTIONAL CAB 4X2,
28916103,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,VOLV,XC6,,VOLVO,XC60,
28226032,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,03,01,True,FORD,EC3,,FORD,ECONOLINE E350,
27863317,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,,14,01,,,,,,,
27931254,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,UN,05,,False,05,01,,,,,,,
27991581,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,UN,05,,,13,01,False,JEEP,CHK,,JEEP,CHEROKEE,
28328540,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,UN,05,,False,05,01,,,,,,,
28322365,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,05,,,,,,,,
28313986,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,NISS,ARM,,NISSAN,ARMADA,
28531876,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,NISS,RGS,,NISSAN,ROGUE SPORT,
28222308,2,PASSENGER CAR,,False,,DI,05,,,13,,,,,,,,
28224956,1,PASSENGER CAR,,False,,UN,05,,False,98,01,,,,,,,
28401779,2,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,CHEV,IMP,,CHEVROLET,IMPALA,
28331658,1,PASSENGER CAR,,False,,UN,05,,False,05,01,,,,,,,
28314304,1,PASSENGER CAR,01,False,,UN,05,,False,05,01,,,,,,,
28239471,1,PASSENGER CAR,01,False,,UN,05,,False,11,01,,,,,,,
28554761,2,PASSENGER CAR,,False,,UN,05,,False,10,01,,NISS,,,NISSAN,,
28688540,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,KIA,,,KIA MOTORS CORPORATION,K5,
28860192,1,PASSENGER CAR,02,False,,UN,05,,False,05,06,,BUIC,,,BUICK,,
29497603,1,PASSENGER CAR,01,False,,UN,05,,False,03,01,,,,,,,
28806731,3,TRUCK & TRAILER,,False,,UN,,,,13,,,,,,,,
28304809,2,TRUCK & TRAILER,01,True,,DI,05,,False,05,01,True,FRHT,,,FREIGHTLINER,FRT,
29198727,1,TRUCK-SINGLE UNIT,,True,,UN,05,,False,06,01,,,,,,,
28679353,2,TRUCK-SINGLE UNIT,01,False,,DI,05,,False,05,01,True,FRHT,,,FREIGHTLINER,,
