IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
27657115,1,2,08,,0,,True,False,,,,,,,,,,,,,,,,,,
27657115,,3,09,,,,,,,,,,,,,,,,,,,,,,,
27657830,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27657830,2,5,08,,23,,True,False,,,,,,,,,,,,,,,,,,
27666327,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27682458,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27685188,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27686525,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27691094,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27691094,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27699159,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27700265,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27708842,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27699159,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27716573,3,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
27716573,,9,07,,,,,,,,,,,,,,,,,,,,,,,
27726457,,7,07,,,,,,,,,,,,,,,,,,,,,,,
27726457,,8,07,,,,,,,,,,,,,,,,,,,,,,,
27726457,,9,09,,,,,,,,,,,,,,,,,,,,,,,
27717820,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27726993,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27726993,,5,09,,,,,,,,,,,,,,,,,,,,,,,
27734462,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27747267,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27765059,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27771768,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27772309,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27795926,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27805998,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27821738,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27824449,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27829228,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27829228,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27829632,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27833575,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27833575,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27836876,,3,09,,,,,,,,,,,,,,,,,,,,,,,
27857986,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27857986,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27858489,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27863317,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27863317,,3,07,,,,,,,,,,,,,,,,,,,,,,,
27864051,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27864172,1,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27868833,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27868833,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27873210,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27876336,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27876606,,5,07,,,,,,,,,,,,,,,,,,,,,,,
27883098,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27899783,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27901086,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27901086,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27904812,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27905590,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27905969,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27918680,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27923872,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27923551,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27931254,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27931926,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27932208,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27934582,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27950715,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27950715,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27953060,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27972792,2,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
27980953,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27985632,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27985841,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27989352,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27989352,,3,07,,,,,,,,,,,,,,,,,,,,,,,
27989994,,1,09,,,,,,,,,,,,,,,,,,,,,,,
27989994,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27989994,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27993776,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
28000226,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
28000369,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
28000227,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
28002405,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
28004300,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
28005121,,3,09,,,,,,,,,,,,,,,,,,,,,,,
