IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
26133281,1,1,1,INSTALLED/NOT DEPLOYED,
26133281,1,2,1,INSTALLED/NOT DEPLOYED,
26133281,2,4,1,INSTALLED/NOT DEPLOYED,
26146419,1,1,1,INSTALLED/NOT DEPLOYED,
26146419,2,3,1,INSTALLED/NOT DEPLOYED,
26148508,2,1,1,INSTALLED/NOT DEPLOYED,
26148662,1,1,1,INSTALLED/NOT DEPLOYED,
26148662,2,2,1,NOT INSTALLED,
26163521,1,1,1,INSTALLED/NOT DEPLOYED,
26163521,2,2,1,INSTALLED/NOT DEPLOYED,
26166091,1,1,1,INSTALLED/NOT DEPLOYED,
26166091,1,2,1,NOT INSTALLED,
26166091,2,3,1,INSTALLED/NOT DEPLOYED,
26168678,1,1,1,INSTALLED/NOT DEPLOYED,
26168678,2,2,1,INSTALLED/NOT DEPLOYED,
26177950,1,1,1,INSTALLED/NOT DEPLOYED,
26186176,1,1,1,INSTALLED/NOT DEPLOYED,
26191024,1,1,1,INSTALLED/NOT DEPLOYED,
26191024,2,2,1,INSTALLED/NOT DEPLOYED,
26193887,1,1,1,INSTALLED/NOT DEPLOYED,
26193887,2,3,1,INSTALLED/NOT DEPLOYED,
26193888,1,2,1,INSTALLED/NOT DEPLOYED,
26194451,1,1,1,INSTALLED/NOT DEPLOYED,
26194451,2,2,1,NOT INSTALLED,
26202973,1,1,1,INSTALLED/NOT DEPLOYED,
26202973,2,3,1,INSTALLED/NOT DEPLOYED,
26202973,2,4,1,INSTALLED/NOT DEPLOYED,
26202973,2,5,1,INSTALLED/NOT DEPLOYED,
26208265,1,1,1,INSTALLED/NOT DEPLOYED,
26208265,2,2,1,INSTALLED/NOT DEPLOYED,
26208265,2,3,1,INSTALLED/NOT DEPLOYED,
26208265,2,4,1,INSTALLED/NOT DEPLOYED,
26208265,3,5,1,NOT INSTALLED,
26217422,1,1,1,INSTALLED/NOT DEPLOYED,
26217422,2,3,1,INSTALLED/NOT DEPLOYED,
26220770,1,1,1,INSTALLED/NOT DEPLOYED,
26220770,2,2,1,INSTALLED/NOT DEPLOYED,
26220926,1,1,1,INSTALLED/NOT DEPLOYED,
26220926,1,2,1,INSTALLED/NOT DEPLOYED,
26220926,2,3,1,INSTALLED/NOT DEPLOYED,
26231386,2,1,1,INSTALLED/NOT DEPLOYED,
26231386,2,2,1,INSTALLED/NOT DEPLOYED,
26231608,1,1,1,INSTALLED/NOT DEPLOYED,
26231608,2,3,1,INSTALLED/NOT DEPLOYED,
26231608,3,4,1,INSTALLED/NOT DEPLOYED,
26232980,1,1,1,INSTALLED/NOT DEPLOYED,
26241187,1,1,1,INSTALLED/NOT DEPLOYED,
26241187,2,2,1,INSTALLED/NOT DEPLOYED,
26255745,1,1,1,INSTALLED/NOT DEPLOYED,
26255745,2,2,1,INSTALLED/NOT DEPLOYED,
26255746,1,1,1,INSTALLED/NOT DEPLOYED,
26255746,1,2,1,INSTALLED/NOT DEPLOYED,
26255746,1,3,1,INSTALLED/NOT DEPLOYED,
26255746,1,4,1,INSTALLED/NOT DEPLOYED,
26255746,2,6,1,INSTALLED/NOT DEPLOYED,
26255746,2,7,1,INSTALLED/NOT DEPLOYED,
26255746,2,8,1,INSTALLED/NOT DEPLOYED,
26259380,1,1,1,INSTALLED/NOT DEPLOYED,
26259380,1,2,1,INSTALLED/NOT DEPLOYED,
26259380,2,3,1,INSTALLED/NOT DEPLOYED,
26259380,2,4,1,INSTALLED/NOT DEPLOYED,
26260463,1,1,1,INSTALLED/NOT DEPLOYED,
26260463,2,3,1,INSTALLED/NOT DEPLOYED,
26262381,1,1,1,INSTALLED/NOT DEPLOYED,
26262381,2,2,1,DEPLOYED-FRONT,
26262381,2,3,1,DEPLOYED-FRONT,
26266428,1,1,1,DEPLOYED-FRONT,
26266428,2,2,1,INSTALLED/NOT DEPLOYED,
26266428,2,3,1,INSTALLED/NOT DEPLOYED,
26273031,1,1,1,NOT INSTALLED,
26273031,2,2,1,INSTALLED/NOT DEPLOYED,
