IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
26600649,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26600649,,3,07,,,,,,,,,,,,,,,,,,,,,,,
26602257,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26602510,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26606444,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26608463,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26627903,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26637315,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26637600,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26637598,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26642185,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26652908,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26652908,,3,09,,,,,,,,,,,,,,,,,,,,,,,
26652908,,4,09,,,,,,,,,,,,,,,,,,,,,,,
26660715,3,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
26660728,1,4,08,,47,,True,False,,,,,,,,,,,,,,,,,,
26669772,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26669772,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26674106,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26674771,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26674771,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26681401,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26681401,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26682458,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26682647,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26684112,,3,07,,28,,,,,,,,,,,,,,,,,,,,,
26698409,,3,07,,,,,,,,,,,,,,,,,,,,,,,
26698409,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26705729,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26708418,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26711560,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26711560,,3,07,,,,,,,,,,,,,,,,,,,,,,,
26711560,,4,07,,,,,,,,,,,,,,,,,,,,,,,
26715684,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26715684,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26716585,3,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
26717911,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26718545,,4,09,,,,,,,,,,,,,,,,,,,,,,,
26718784,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26723347,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26723347,,2,09,,,,,,,,,,,,,,,,,,,,,,,
26723347,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26738264,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26738264,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
26738264,3,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
26743190,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26743190,2,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
26745250,3,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26746212,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26746479,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26752968,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26752968,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26759066,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26757656,,3,09,,,,,,,,,,,,,,,,,,,,,,,
26762376,2,4,08,,62,,True,False,,,,,,,,,,,,,,,,,,
26763170,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26763410,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26762376,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26764703,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26765240,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26766857,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26766857,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26769598,,3,07,,,,,,,,,,,,,,,,,,,,,,,
26779481,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26779481,,5,07,,,,,,,,,,,,,,,,,,,,,,,
26781374,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26781374,,2,09,,,,,,,,,,,,,,,,,,,,,,,
26781816,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26781816,,2,07,,,,,,,,,,,,,,,,,,,,,,,
26781816,,3,07,,,,,,,,,,,,,,,,,,,,,,,
26781816,,4,09,,,,,,,,,,,,,,,,,,,,,,,
26783066,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26783066,,5,07,,31,,,,,,,,,,,,,,,,,,,,,
26783066,,6,07,,,,,,,,,,,,,,,,,,,,,,,
26786236,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26786236,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
26789160,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26791562,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26793130,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26799264,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26793130,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26801318,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26806907,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26802020,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26806909,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
26824982,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26833056,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26836129,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26838615,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26841388,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26841029,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26847656,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26853382,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26854716,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26854716,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26856211,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26858720,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26862836,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26862836,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26869705,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26869707,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26874772,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26875335,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26877053,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26886172,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26888987,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26888987,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26897210,,5,09,,,,,,,,,,,,,,,,,,,,,,,
26909447,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26909999,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26909999,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26913326,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26913326,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26915377,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26915377,,3,07,,60,,,,,,,,,,,,,,,,,,,,,
26915378,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26916820,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26917638,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26918607,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26918607,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
26919725,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26922736,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26924995,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26924995,2,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
26927560,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26925242,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26931111,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26931112,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26932902,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26934462,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26937597,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26938866,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26938866,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26940227,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26940227,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26941464,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26941514,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26941464,,6,07,,82,,,,,,,,,,,,,,,,,,,,,
26942131,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26942133,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26942137,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26942144,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26942144,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
26944981,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26945031,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26947646,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26950934,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26956469,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26958959,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26959753,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26959753,,1,09,,,,,,,,,,,,,,,,,,,,,,,
26959793,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26959793,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
26960753,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26960753,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26965683,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26968391,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26968330,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26984712,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
26988900,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
26990114,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
26995226,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
26995226,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008628,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008631,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008632,4,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008633,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008633,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
27008633,,6,07,,,,,,,,,,,,,,,,,,,,,,,
27008634,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
27009091,,3,07,,,,,,,,,,,,,,,,,,,,,,,
27013002,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27014254,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27014254,,5,07,,,,,,,,,,,,,,,,,,,,,,,
27014254,,6,07,,,,,,,,,,,,,,,,,,,,,,,
27015752,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
27015752,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
27019509,,5,07,,,,,,,,,,,,,,,,,,,,,,,
27019509,,6,07,,,,,,,,,,,,,,,,,,,,,,,
27019509,,7,07,,,,,,,,,,,,,,,,,,,,,,,
27022103,,3,07,,,,,,,,,,,,,,,,,,,,,,,
