IncidentId,TrafficControlNo,TrafficControl,
26636216,1,CENTER LINE,
26637315,1,ADVISORY SPEED SIGN,
26637315,2,WARNING SIGNS,
26637597,1,OTHER,
26637597,2,STOP SIGN,
26637598,1,CENTER LINE,
26637598,2,MEDIAN,
26637600,1,CENTER LINE,
26637600,2,MEDIAN,
26642185,1,ADVISORY SPEED SIGN,
26642185,2,CENTER LINE,
26642185,3,WARNING SIGNS,
26646619,1,CENTER LINE,
26646619,2,OTHER,
26646736,1,CENTER LINE,
26646937,1,MEDIAN,
26647872,1,CENTER LINE,
26652602,1,ADVISORY SPEED SIGN,
26652908,1,MEDIAN,
26654426,1,OFFICER OR FLAGMAN,
26654426,2,WARNING SIGNS,
26655128,1,STOP & GO SIGNAL,
26660715,1,MEDIAN,
26660728,1,MEDIAN,
26660728,2,STOP & GO SIGNAL,
26662632,1,MEDIAN,
26662634,1,MEDIAN,
26662634,2,OTHER,
26666439,1,ADVISORY SPEED SIGN,
26666439,2,FLASHING LIGHT,
26666439,3,WARNING SIGNS,
26669772,1,MEDIAN,
26671159,1,MEDIAN,
26671159,2,ADVISORY SPEED SIGN,
26671159,3,FLASHING LIGHT,
26674106,1,MEDIAN,
26674106,2,OTHER,
26674771,1,NONE,
26674772,1,MEDIAN,
26675441,1,STOP & GO SIGNAL,
26680886,1,MEDIAN,
26680886,2,ADVISORY SPEED SIGN,
26681401,1,ADVISORY SPEED SIGN,
26681401,2,WARNING SIGNS,
26682458,1,MEDIAN,
26682647,1,MEDIAN,
26682647,2,ADVISORY SPEED SIGN,
26682647,3,WARNING SIGNS,
26683028,1,ADVISORY SPEED SIGN,
26683028,2,MEDIAN,
26684112,1,MEDIAN,
26689209,1,CENTER LINE,
26689209,2,STOP & GO SIGNAL,
26691860,1,MEDIAN,
26696844,1,NONE,
26697302,1,STOP & GO SIGNAL,
26698409,1,ADVISORY SPEED SIGN,
26698409,2,WARNING SIGNS,
26700561,1,ADVISORY SPEED SIGN,
26700561,2,CENTER LINE,
26701461,1,MEDIAN,
26702755,1,OFFICER OR FLAGMAN,
26703907,1,NONE,
26705623,1,STOP & GO SIGNAL,
26705729,1,NONE,
26707335,1,ADVISORY SPEED SIGN,
26707335,2,OTHER,
26708418,1,ADVISORY SPEED SIGN,
26708418,2,STOP & GO SIGNAL,
26711560,1,MEDIAN,
26715684,1,NONE,
26716585,1,MEDIAN,
26716585,2,ADVISORY SPEED SIGN,
26716585,3,OTHER,
26716585,4,WARNING SIGNS,
26717044,1,ADVISORY SPEED SIGN,
26717044,2,STOP & GO SIGNAL,
26717911,1,MEDIAN,
26717911,2,CENTER LINE,
26718545,1,MEDIAN,
26718545,2,CENTER LINE,
26718545,3,WARNING SIGNS,
26718784,1,MEDIAN,
26718784,2,ADVISORY SPEED SIGN,
26718784,3,WARNING SIGNS,
26723347,1,NONE,
26725336,1,MEDIAN,
26725336,2,STOP SIGN,
26734867,1,MEDIAN,
26736574,1,MEDIAN,
26738264,1,ADVISORY SPEED SIGN,
26738264,2,CENTER LINE,
26738264,3,MEDIAN,
26738264,4,WARNING SIGNS,
26741868,1,MEDIAN,
26741868,2,ADVISORY SPEED SIGN,
26742160,1,OFFICER OR FLAGMAN,
26743190,1,NONE,
26745219,1,NONE,
26745250,1,MEDIAN,
26746212,1,MEDIAN,
26746212,2,ADVISORY SPEED SIGN,
26746479,1,CENTER LINE,
