IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,Unnamed: 18
29344454,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,5.0,1.0,True,DODG,CVN,VAN,DODGE,CARAVAN/GRAND CARAVAN,
29332772,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,5.0,False,10.0,1.0,True,HOND,ODY,VAN,HONDA,ODYSSEY,
29577208,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,41.0,,False,5.0,1.0,True,CHRY,PCF,VAN,CHRYSLER,PACIFICA/PACIFICA PHEV,
29619271,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,13.0,1.0,True,CHEV,EXP,VAN,CHEVROLET,EXPRESS,
29375523,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,5.0,1.0,True,DODG,CVN,VAN,DODGE,CARAVAN/GRAND CARAVAN,
29291416,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,,False,5.0,1.0,True,TOYT,SNA,VAN,TOYOTA,SIENNA,
29283358,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,16.0,1.0,True,CHEV,EXP,VAN,CHEVROLET,EXPRESS,
27682458,1.0,BUS,3.0,False,,DI,5.0,46.0,False,11.0,1.0,True,RAM,350,VAN,RAM,3500,
27747267,1.0,EMERGENCY VEHICLE-NON RESPONSE,1.0,False,,DI,39.0,,False,6.0,1.0,True,FORD,TRN,VAN,FORD,TRANSIT,
28238338,3.0,HIT & RUN/UNKNOWN,1.0,False,,UN,5.0,,False,5.0,1.0,False,UNKN,,VAN,UNKNOWN,UNKNOWN,
26781816,1.0,FARM TRACTOR &/OR FARM EQUIPMENT,,False,,UN,46.0,11.0,,5.0,1.0,,,,,,,
26757618,1.0,GOCART,3.0,False,,DI,16.0,,False,5.0,98.0,,,,,,,
26791538,2.0,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
26921560,1.0,HIT & RUN/UNKNOWN,,False,,UN,5.0,,False,98.0,98.0,,,,,,,
26148508,1.0,HIT & RUN/UNKNOWN,,False,,UN,5.0,,False,98.0,98.0,,,,,,,
26296674,4.0,HIT & RUN/UNKNOWN,3.0,False,,UN,5.0,,False,5.0,98.0,False,UNKN,,,UNKNOWN,UNKNOWN,
26307240,1.0,HIT & RUN/UNKNOWN,2.0,True,,UN,5.0,,False,98.0,1.0,True,,,,,,
26669772,1.0,HIT & RUN/UNKNOWN,,False,,UN,5.0,,False,5.0,1.0,,,,,,,
27333987,1.0,HIT & RUN/UNKNOWN,3.0,True,,UN,5.0,,False,5.0,1.0,,,,,,,
27108708,1.0,HIT & RUN/UNKNOWN,,False,,UN,5.0,,False,98.0,,,,,,,,
27067210,1.0,HIT & RUN/UNKNOWN,,False,,UN,,,,98.0,,,,,,,,
26683028,3.0,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
26509453,1.0,HIT & RUN/UNKNOWN,1.0,False,,UN,5.0,,False,11.0,1.0,,,,,,,
27426108,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,6.0,,False,5.0,1.0,,,,,,,
27700408,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,UN,5.0,,False,5.0,98.0,False,,,,,,
27024280,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,UN,5.0,,False,10.0,1.0,,,,,,,
27211345,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,UN,5.0,,False,3.0,1.0,,,,,,,
26509453,3.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,,False,5.0,1.0,True,RAM,550,,RAM,5500,
26621685,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,,False,16.0,1.0,True,VOLK,JET,,VOLKSWAGEN,JETTA,
26674771,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,,False,13.0,1.0,True,CHEV,SLV,,CHEVROLET,SILVERADO,
26370141,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),1.0,False,,DI,5.0,5.0,False,5.0,1.0,True,RAM,250,,RAM,2500,
26208265,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,16.0,6.0,True,TOYT,HGH,,TOYOTA,HIGHLANDER,
26231386,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,5.0,,False,5.0,1.0,False,,,,,,
26791562,1.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,5.0,,False,5.0,1.0,,FORD,F15,,FORD,F150,
26791562,2.0,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),3.0,False,,DI,5.0,,False,5.0,1.0,True,FORD,EC4,,FORD,ECONOLINE E450,
