IncidentId,UnitNumber,Factor_Type,Factor
32863012,1,ENVIRON FACTOR,2
32863012,2,ENVIRON FACTOR,2
32863012,3,ENVIRON FACTOR,2
32870255,1,ENVIRON FACTOR,2
32870255,2,ENVIRON FACTOR,2
32872676,1,ENVIRON FACTOR,2
32872987,1,ENVIRON FACTOR,17
32872987,1,ENVIRON FACTOR,2
32872987,2,ENVIRON FACTOR,17
32872987,2,ENVIRON FACTOR,2
32878865,1,ENVIRON FACTOR,2
32880874,1,ENVIRON FACTOR,2
32880874,2,ENVIRON FACTOR,2
32880874,3,ENVIRON FACTOR,2
32880874,4,ENVIRON FACTOR,2
32882819,1,ENVIRON FACTOR,17
32882819,1,ENVIRON FACTOR,2
32882819,2,ENVIRON FACTOR,17
32882819,2,ENVIRON FACTOR,2
32882819,3,ENVIRON FACTOR,17
32882819,3,ENVIRON FACTOR,2
32882832,1,ENVIRON FACTOR,2
32882832,2,ENVIRON FACTOR,2
32888031,1,ENVIRON FACTOR,17
32888031,1,ENVIRON FACTOR,2
32888031,2,ENVIRON FACTOR,17
32888031,2,ENVIRON FACTOR,2
32888031,3,ENVIRON FACTOR,17
32888031,3,ENVIRON FACTOR,2
32888031,4,ENVIRON FACTOR,17
32888031,4,ENVIRON FACTOR,2
32889501,1,ENVIRON FACTOR,2
32889605,2,ENVIRON FACTOR,2
32889605,1,ENVIRON FACTOR,2
32890651,1,ENVIRON FACTOR,2
32891668,1,ENVIRON FACTOR,2
32892624,1,ENVIRON FACTOR,2
32892624,2,ENVIRON FACTOR,2
32893084,1,ENVIRON FACTOR,2
32893165,1,ENVIRON FACTOR,2
32893165,1,ENVIRON FACTOR,11
32894126,1,ENVIRON FACTOR,2
32894126,2,ENVIRON FACTOR,2
32894322,1,ENVIRON FACTOR,2
32894322,2,ENVIRON FACTOR,99
32899838,1,ENVIRON FACTOR,2
32899838,2,ENVIRON FACTOR,2
32903647,1,ENVIRON FACTOR,2
32903647,2,ENVIRON FACTOR,99
32903647,3,ENVIRON FACTOR,99
32903647,4,ENVIRON FACTOR,99
32906874,1,ENVIRON FACTOR,9
32906874,2,ENVIRON FACTOR,2
32909108,1,ENVIRON FACTOR,17
32909108,1,ENVIRON FACTOR,2
32909108,2,ENVIRON FACTOR,17
32909108,2,ENVIRON FACTOR,2
32915773,1,ENVIRON FACTOR,2
32915773,2,ENVIRON FACTOR,99
32921513,1,ENVIRON FACTOR,2
32921513,2,ENVIRON FACTOR,2
32921514,1,ENVIRON FACTOR,2
32921514,1,ENVIRON FACTOR,9
32921514,2,ENVIRON FACTOR,2
32921514,2,ENVIRON FACTOR,9
32922019,1,ENVIRON FACTOR,2
32922019,2,ENVIRON FACTOR,2
32923488,1,ENVIRON FACTOR,17
32923488,1,ENVIRON FACTOR,2
32923488,2,ENVIRON FACTOR,17
32923488,2,ENVIRON FACTOR,2
32923488,3,ENVIRON FACTOR,17
32923488,3,ENVIRON FACTOR,2
32923488,4,ENVIRON FACTOR,17
32923488,4,ENVIRON FACTOR,2
32923488,5,ENVIRON FACTOR,17
32923488,5,ENVIRON FACTOR,2
32933584,1,ENVIRON FACTOR,2
32933584,1,ENVIRON FACTOR,11
32933584,2,ENVIRON FACTOR,2
32933584,2,ENVIRON FACTOR,11
32933584,3,ENVIRON FACTOR,2
32933584,3,ENVIRON FACTOR,11
32943651,1,ENVIRON FACTOR,17
