IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
31265874,1,HIT & RUN/UNKNOWN,03,False,,DI,05,,False,03,98,,,,,,,
31204939,1,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
31388637,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
31529219,4,HIT & RUN/UNKNOWN,03,True,,UN,05,,False,16,01,,,,,,,
31516501,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,98,01,,,,,,,
31675646,1,HIT & RUN/UNKNOWN,,False,,UN,05,,,05,,,,,,,,
31692373,2,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,13,01,,,,,,,
32046853,1,HIT & RUN/UNKNOWN,,True,,UN,,,,,,,,,,,,
32136501,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,05,01,,,,,,,
31871448,1,HIT & RUN/UNKNOWN,,False,,UN,05,,,05,01,False,,,,,,
31909279,1,HIT & RUN/UNKNOWN,,True,,UN,,,,98,01,,,,,,,
31969009,1,HIT & RUN/UNKNOWN,,True,,UN,05,,False,05,,,,,,,,
32273441,1,HIT & RUN/UNKNOWN,03,True,,UN,05,,False,05,01,,,,,,,
32264817,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,False,UNKN,,,UNKNOWN,,
32278348,1,HIT & RUN/UNKNOWN,,False,,UN,,,,98,,,,,,,,
32316110,2,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,13,01,True,,,,,,
32441211,,HIT & RUN/UNKNOWN,,,,,,,,,,,,,,,,
32441211,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,False,,,,,,
32539004,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,03,01,,,,,,,
32645598,1,HIT & RUN/UNKNOWN,,False,,UN,,,,,,,,,,,,
32660684,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,03,98,,,,,,,
32648383,3,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,UN,05,,False,13,01,,,,,,,
32643976,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,13,01,True,LEXS,R45,,LEXUS,RX450H,
32731609,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,FORD,XL2,,FORD,EXCURSION XLT 4X2,
32393451,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,05,False,11,01,True,KIA,SPT,,KIA MOTORS CORPORATION,SPORTAGE,
32391768,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,HOND,PLT,,HONDA,PILOT,
32335676,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,CHEV,,,CHEVROLET,,
32173883,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,05,01,,,,,,,
32184856,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,05,06,,FORD,,,FORD,EXPLORER,
32202256,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,CHEV,SLV,,CHEVROLET,SILVERADO,
32211639,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,TOYT,,,TOYOTA,SIE,
32242903,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,True,FORD,F25,,FORD,F250 SERIES,
31954251,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,05,,False,05,01,,,,,,,
31795029,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,13,01,True,CHEV,TRV,,CHEVROLET,TRAVERSE,
32047293,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,True,DODG,,,DODGE,,
31692958,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,13,01,True,KIA,SOL,,KIA MOTORS CORPORATION,SOUL,
31692926,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,06,True,TOYT,,,TOYOTA,RAV,
31760047,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),,False,,UN,43,,,08,,,,,,,,
31636107,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,FORD,F15,,FORD,F150 SERIES,
31659552,3,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,16,01,True,HYUN,PAL,,HYUNDAI,PALISADE,
31521751,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,FORD,,,FORD,PK,
31479041,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,HOND,CRV,,HONDA,CR-V,
31373871,2,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,08,01,True,JEP,,,JEEP,COMPASS,
31442377,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,10,01,False,CHEV,SUB,,CHEVROLET,SUBURBAN,
31499641,1,MOTORCYCLE,03,False,,UN,05,,False,05,01,,,,,,,
31868638,1,MOTOR HOME/RECREATIONAL VEHICLE,03,False,,UN,05,,False,10,01,,,,,,,
32032264,2,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,TOYT,,,TOYOTA,HIGH,
32076782,3,PASSENGER CAR,01,False,,DI,05,,False,13,98,True,CADI,,,CADILLAC,,
31542557,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HOND,ACC,,HONDA,ACCORD,
31613215,2,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,KIA,RIO,,KIA MOTORS CORPORATION,RIO,
31610123,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,HOND,CIV,,HONDA,CIVIC,
31598946,5,PASSENGER CAR,,False,,UN,05,,False,13,01,,,,,,,
31593659,1,PASSENGER CAR,,False,,UN,05,,False,,98,,,,,,,
31593657,1,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,SUBA,CTK,,SUBARU,CROSSTREK/XV CROSSTREK,
32256562,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,KIA,SPT,,KIA MOTORS CORPORATION,SPORTAGE,
