IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
30997483,,3,09,,,,,,,,,,,,,,,,,,,,,,,
31067570,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31067787,2,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31069164,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31089412,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31089437,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31089437,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31100692,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31100692,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31116411,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31117260,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31117260,,3,07,,,,,,,,,,,,,,,,,,,,,,,
31117260,,4,07,,,,,,,,,,,,,,,,,,,,,,,
31117260,,5,09,,,,,,,,,,,,,,,,,,,,,,,
31117260,,6,09,,,,,,,,,,,,,,,,,,,,,,,
31126327,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31141490,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31143988,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31143988,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31150112,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31152468,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31152468,,5,07,,,,,,,,,,,,,,,,,,,,,,,
31152468,,6,07,,,,,,,,,,,,,,,,,,,,,,,
31175671,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31193600,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31193600,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31193600,6,9,08,,,,True,False,,,,,,,,,,,,,,,,,,
31204849,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31204998,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31215638,3,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31217420,,4,07,,,,,,,,,,,,,,,,,,,,,,,
31233370,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31233370,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31234916,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31234916,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31242750,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31242769,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31242769,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31242895,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31248147,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31258840,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31265874,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31262213,,3,07,,,,,,,,,,,,,,,,,,,,,,,
31268789,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31268947,,5,07,,,,,,,,,,,,,,,,,,,,,,,
31270884,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31277256,,2,09,,,,,,,,,,,,,,,,,,,,,,,
31281143,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31283833,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31283833,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31289142,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31290950,,1,09,,,,,,,,,,,,,,,,,,,,,,,
31289142,,1,09,,,,,,,,,,,,,,,,,,,,,,,
31294892,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31303319,,4,07,,,,,,,,,,,,,,,,,,,,,,,
31306014,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31314237,,2,09,,,,,,,,,,,,,,,,,,,,,,,
31315270,,1,09,,,,,,,,,,,,,,,,,,,,,,,
31315270,,2,09,,,,,,,,,,,,,,,,,,,,,,,
31315270,,3,09,,,,,,,,,,,,,,,,,,,,,,,
31315270,,6,07,,,,,,,,,,,,,,,,,,,,,,,
31315270,,7,07,,,,,,,,,,,,,,,,,,,,,,,
31320478,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31320478,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31328001,1,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
31336158,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31338582,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31352117,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31352946,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31352946,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31357011,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31357493,1,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31357493,2,7,08,,,,True,False,,,,,,,,,,,,,,,,,,
31358449,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31358449,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31373017,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31373017,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31373871,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31385162,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31393848,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31393848,3,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31399418,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31399418,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31399418,,5,07,,33,,,,,,,,,,,,,,,,,,,,,
31399418,,6,07,,32,,,,,,,,,,,,,,,,,,,,,
31400477,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31400906,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31400906,,3,07,,,,,,,,,,,,,,,,,,,,,,,
31402676,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31403467,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31402676,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31411884,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31411884,,4,09,,,,,,,,,,,,,,,,,,,,,,,
31418555,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31418555,,3,09,,,,,,,,,,,,,,,,,,,,,,,
31417092,,2,09,,,,,,,,,,,,,,,,,,,,,,,
31423602,,3,07,,,,,,,,,,,,,,,,,,,,,,,
31426467,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31429937,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31442377,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31445065,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31445065,,2,07,,,,,,,,,,,,,,,,,,,,,,,
31445065,,3,09,,,,,,,,,,,,,,,,,,,,,,,
31445065,,4,09,,,,,,,,,,,,,,,,,,,,,,,
31442377,1,1,01,,,,False,False,05,,11,,01,01,01,False,False,,,,,True,False,True,False,
31460521,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31462582,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31469581,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
31470541,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31470541,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
31470541,,7,07,,,,,,,,,,,,,,,,,,,,,,,
31470541,,8,07,,,,,,,,,,,,,,,,,,,,,,,
31473988,,6,09,,,,,,,,,,,,,,,,,,,,,,,
31474327,1,1,08,,48,,True,False,,,,,,,,,,,,,,,,,,
31474334,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31480085,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31480136,2,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31487265,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31487834,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31490824,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31493145,,1,09,,,,,,,,,,,,,,,,,,,,,,,
31493145,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31493838,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31493838,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31498443,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31505280,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31511974,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31511974,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
31513360,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31513360,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31521751,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31526964,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31526964,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31529219,1,1,08,,,,True,False,,,,,,,,,,,,,,,,,,
31529219,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31529219,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
31529502,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31529502,,6,09,,,,,,,,,,,,,,,,,,,,,,,
31530391,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31537669,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31537669,,5,07,,,,,,,,,,,,,,,,,,,,,,,
31537669,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31539233,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31539455,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31542557,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31542557,,4,07,,,,,,,,,,,,,,,,,,,,,,,
31544410,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31544410,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
31552674,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31553063,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
31561524,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
31561524,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
