IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
30997483,1,1,1,INSTALLED/NOT DEPLOYED,
30997483,1,2,1,INSTALLED/NOT DEPLOYED,
31057990,1,1,1,INSTALLED/NOT DEPLOYED,
31067570,1,1,1,INSTALLED/NOT DEPLOYED,
31069164,1,1,1,INSTALLED/NOT DEPLOYED,
31069164,2,2,1,INSTALLED/NOT DEPLOYED,
31069291,2,1,1,INSTALLED/NOT DEPLOYED,
31086756,1,1,1,INSTALLED/NOT DEPLOYED,
31086756,2,2,1,INSTALLED/NOT DEPLOYED,
31086756,2,3,1,INSTALLED/NOT DEPLOYED,
31089412,1,1,1,DEPLOYED-FRONT,
31089412,2,2,1,INSTALLED/NOT DEPLOYED,
31089437,1,1,1,INSTALLED/NOT DEPLOYED,
31089437,2,3,1,INSTALLED/NOT DEPLOYED,
31100643,1,1,1,INSTALLED/NOT DEPLOYED,
31100643,1,2,1,INSTALLED/NOT DEPLOYED,
31100659,1,1,1,INSTALLED/NOT DEPLOYED,
31100689,1,1,1,INSTALLED/NOT DEPLOYED,
31100689,1,2,1,INSTALLED/NOT DEPLOYED,
31100689,1,3,1,INSTALLED/NOT DEPLOYED,
31100689,2,4,1,INSTALLED/NOT DEPLOYED,
31100689,2,5,1,INSTALLED/NOT DEPLOYED,
31100689,2,6,1,INSTALLED/NOT DEPLOYED,
31100692,1,1,1,NOT INSTALLED,
31100692,2,3,1,NOT INSTALLED,
31116411,1,1,1,INSTALLED/NOT DEPLOYED,
31116411,1,2,1,INSTALLED/NOT DEPLOYED,
31116411,2,3,1,NOT INSTALLED,
31117260,1,1,1,INSTALLED/NOT DEPLOYED,
31126327,1,1,1,INSTALLED/NOT DEPLOYED,
31126327,2,3,1,INSTALLED/NOT DEPLOYED,
31126327,2,4,1,INSTALLED/NOT DEPLOYED,
31126327,2,5,1,INSTALLED/NOT DEPLOYED,
31126327,2,6,1,INSTALLED/NOT DEPLOYED,
31126327,2,7,1,INSTALLED/NOT DEPLOYED,
31126327,2,8,1,INSTALLED/NOT DEPLOYED,
31126327,2,9,1,INSTALLED/NOT DEPLOYED,
31126327,2,10,1,INSTALLED/NOT DEPLOYED,
31126327,2,11,1,INSTALLED/NOT DEPLOYED,
31126327,2,12,1,INSTALLED/NOT DEPLOYED,
31126327,2,13,1,INSTALLED/NOT DEPLOYED,
31126327,2,14,1,INSTALLED/NOT DEPLOYED,
31126327,2,15,1,INSTALLED/NOT DEPLOYED,
31126327,2,16,1,INSTALLED/NOT DEPLOYED,
31126327,2,17,1,INSTALLED/NOT DEPLOYED,
31126327,2,18,1,INSTALLED/NOT DEPLOYED,
