IncidentID,UnitNumber,PersonNo,PersonTypeCde,DeathDte,AgeAtIncident,Gender,IsOwner,WasTransported,InjurySeverityCde,InjuryLocationCde,PosInVehicleCde,RestraintUseCde,TrappedCde,EjectionCde,EjectionPathCde,SuspectedOfDrinking,TestOffered,TestRefused,TestedForCde,TestSentTo,TestResults,HasOpLicense,HasCDLicense,HasLicenseRestrictions,HasOpEndorsements,
29540000,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29540000,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29572470,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29572470,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29572470,,6,09,,,,,,,,,,,,,,,,,,,,,,,
29576130,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29576586,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29576586,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29576586,,6,07,,32,,,,,,,,,,,,,,,,,,,,,
29577097,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29583737,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29583737,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29584268,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29584268,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29593769,,4,09,,,,,,,,,,,,,,,,,,,,,,,
29604683,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29620589,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29620589,,3,09,,,,,,,,,,,,,,,,,,,,,,,
29621209,1,1,01,,21,,True,False,05,,11,01,01,01,01,False,False,,,,,True,False,False,False,
29621209,,3,07,,,,,,,,,,,,,,,,,,,,,,,
29604683,,4,07,,67,,,,,,,,,,,,,,,,,,,,,
29628996,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29631522,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29631522,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29638037,,2,09,,,,,,,,,,,,,,,,,,,,,,,
29638037,,3,09,,,,,,,,,,,,,,,,,,,,,,,
29635624,2,8,08,,,,True,False,,,,,,,,,,,,,,,,,,
29639103,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29645853,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29654154,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29654154,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29654154,,5,07,,,,,,,,,,,,,,,,,,,,,,,
29672618,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29672618,,4,07,,,,,,,,,,,,,,,,,,,,,,,
29705815,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29705815,,2,09,,,,,,,,,,,,,,,,,,,,,,,
29705815,,3,09,,,,,,,,,,,,,,,,,,,,,,,
29708462,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29710941,1,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29710941,2,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
29725678,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29726502,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29733147,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29750595,3,5,01,,,,False,True,,,11,,,,,False,False,,,,,True,False,False,False,
29768565,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29783247,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29783247,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29783623,,2,07,,,,,,,,,,,,,,,,,,,,,,,
29786850,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29786850,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29786859,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29786859,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29795763,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29793192,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29798528,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29798528,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29812119,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29812119,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29826471,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29831047,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29826471,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29833003,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29833003,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29835883,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29837390,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29841018,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29842428,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29842428,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29846052,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29846052,3,6,08,,,,True,False,,,,,,,,,,,,,,,,,,
29847466,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29863302,,1,09,,,,,,,,,,,,,,,,,,,,,,,
29863302,1,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29864098,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29869357,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29864098,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29886712,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29882897,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29893808,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29906135,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29910509,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29910509,,6,07,,,,,,,,,,,,,,,,,,,,,,,
29913780,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29913780,2,4,08,,,,True,False,,,,,,,,,,,,,,,,,,
29915633,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29915633,2,5,08,,,,True,False,,,,,,,,,,,,,,,,,,
29923181,1,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29923181,2,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29928499,2,2,08,,,,True,False,,,,,,,,,,,,,,,,,,
29923409,1,3,08,,,,True,False,,,,,,,,,,,,,,,,,,
29941441,,3,07,,61,,,,,,,,,,,,,,,,,,,,,
