IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
29783931,1,1,1,INSTALLED/NOT DEPLOYED,
29783931,1,2,1,INSTALLED/NOT DEPLOYED,
29783931,2,3,1,INSTALLED/NOT DEPLOYED,
29786850,1,2,1,INSTALLED/NOT DEPLOYED,
29786850,1,3,1,INSTALLED/NOT DEPLOYED,
29786859,1,2,1,NOT INSTALLED,
29787796,1,1,1,INSTALLED/NOT DEPLOYED,
29787796,2,2,1,INSTALLED/NOT DEPLOYED,
29793192,2,1,1,INSTALLED/NOT DEPLOYED,
29795763,1,1,1,INSTALLED/NOT DEPLOYED,
29795763,1,3,1,NOT INSTALLED,
29795763,1,4,1,NOT INSTALLED,
29795763,1,5,1,NOT INSTALLED,
29795763,1,6,1,INSTALLED/NOT DEPLOYED,
29795763,1,7,1,INSTALLED/NOT DEPLOYED,
29795763,1,8,1,INSTALLED/NOT DEPLOYED,
29795763,1,9,1,INSTALLED/NOT DEPLOYED,
29795763,1,10,1,INSTALLED/NOT DEPLOYED,
29795763,1,11,1,INSTALLED/NOT DEPLOYED,
29795763,1,12,1,INSTALLED/NOT DEPLOYED,
29795763,1,13,1,INSTALLED/NOT DEPLOYED,
29795763,1,14,1,INSTALLED/NOT DEPLOYED,
29795763,1,15,1,INSTALLED/NOT DEPLOYED,
29798528,1,1,1,NOT INSTALLED,
29806440,1,1,1,INSTALLED/NOT DEPLOYED,
29806440,2,2,1,INSTALLED/NOT DEPLOYED,
29812119,1,1,1,INSTALLED/NOT DEPLOYED,
29812119,2,3,1,INSTALLED/NOT DEPLOYED,
29822112,1,1,1,DEPLOYED-FRONT,
29826471,1,2,1,INSTALLED/NOT DEPLOYED,
29831047,1,2,1,INSTALLED/NOT DEPLOYED,
29831059,1,1,1,INSTALLED/NOT DEPLOYED,
29831059,2,2,1,INSTALLED/NOT DEPLOYED,
29833003,1,1,1,INSTALLED/NOT DEPLOYED,
29833003,2,3,1,INSTALLED/NOT DEPLOYED,
29835364,1,1,1,INSTALLED/NOT DEPLOYED,
29835364,1,2,1,INSTALLED/NOT DEPLOYED,
29835364,2,3,1,INSTALLED/NOT DEPLOYED,
29835883,1,1,1,DEPLOYED-FRONT,
29835883,2,2,1,INSTALLED/NOT DEPLOYED,
29837390,1,2,1,INSTALLED/NOT DEPLOYED,
29837390,2,3,1,INSTALLED/NOT DEPLOYED,
29837390,2,4,1,INSTALLED/NOT DEPLOYED,
29841018,1,1,1,INSTALLED/NOT DEPLOYED,
29841018,2,3,1,INSTALLED/NOT DEPLOYED,
29841018,2,4,1,INSTALLED/NOT DEPLOYED,
29842428,1,1,1,INSTALLED/NOT DEPLOYED,
29842428,2,3,1,INSTALLED/NOT DEPLOYED,
29842428,2,4,1,INSTALLED/NOT DEPLOYED,
29846052,1,2,1,INSTALLED/NOT DEPLOYED,
29846052,2,3,1,INSTALLED/NOT DEPLOYED,
29846052,2,4,1,INSTALLED/NOT DEPLOYED,
29846052,2,5,1,INSTALLED/NOT DEPLOYED,
29846052,3,7,1,INSTALLED/NOT DEPLOYED,
29846052,3,8,1,INSTALLED/NOT DEPLOYED,
29846052,3,9,1,INSTALLED/NOT DEPLOYED,
29846052,3,10,1,INSTALLED/NOT DEPLOYED,
29846052,4,11,1,INSTALLED/NOT DEPLOYED,
29846052,4,12,1,INSTALLED/NOT DEPLOYED,
29846060,1,1,1,INSTALLED/NOT DEPLOYED,
29846060,1,2,1,INSTALLED/NOT DEPLOYED,
29846060,2,3,1,INSTALLED/NOT DEPLOYED,
29846060,2,4,1,INSTALLED/NOT DEPLOYED,
29847466,1,1,1,INSTALLED/NOT DEPLOYED,
29847466,2,2,1,INSTALLED/NOT DEPLOYED,
29848502,1,1,1,INSTALLED/NOT DEPLOYED,
29848502,2,2,1,INSTALLED/NOT DEPLOYED,
29860022,2,1,1,INSTALLED/NOT DEPLOYED,
29863298,1,1,1,DEPLOYED-COMBINATION,
29863298,1,1,2,DEPLOYED-CURTAIN,
29863298,1,1,3,DEPLOYED-FRONT,
29863298,1,1,4,DEPLOYED-SIDE,
29863298,2,2,1,NOT INSTALLED,
29863302,1,2,1,INSTALLED/NOT DEPLOYED,
29863302,1,3,1,INSTALLED/NOT DEPLOYED,
29864098,1,1,1,INSTALLED/NOT DEPLOYED,
29864098,2,3,1,INSTALLED/NOT DEPLOYED,
29864100,1,1,1,INSTALLED/NOT DEPLOYED,
29864100,1,2,1,INSTALLED/NOT DEPLOYED,
29864100,1,3,1,INSTALLED/NOT DEPLOYED,
29864100,1,4,1,INSTALLED/NOT DEPLOYED,
29864100,2,5,1,INSTALLED/NOT DEPLOYED,
29869254,1,1,1,DEPLOYED-FRONT,
29869254,2,2,1,DEPLOYED-COMBINATION,
29869254,2,3,1,DEPLOYED-COMBINATION,
29869254,3,4,1,DEPLOYED-COMBINATION,
29869254,3,5,1,DEPLOYED-COMBINATION,
29869254,4,6,1,INSTALLED/NOT DEPLOYED,
29869357,1,1,1,INSTALLED/NOT DEPLOYED,
29869357,1,2,1,INSTALLED/NOT DEPLOYED,
29869357,2,3,1,INSTALLED/NOT DEPLOYED,
29869958,1,1,1,DEPLOYED-SIDE,
29869958,1,2,1,INSTALLED/NOT DEPLOYED,
29869958,1,3,1,INSTALLED/NOT DEPLOYED,
29869958,2,4,1,INSTALLED/NOT DEPLOYED,
29869958,2,5,1,INSTALLED/NOT DEPLOYED,
29882897,1,1,1,DEPLOYED-FRONT,
29882897,1,1,2,DEPLOYED-SIDE,
29882897,1,2,1,DEPLOYED-FRONT,
29882897,1,3,1,INSTALLED/NOT DEPLOYED,
29882897,2,4,1,DEPLOYED-FRONT,
29886712,1,1,1,INSTALLED/NOT DEPLOYED,
29886712,2,3,1,INSTALLED/NOT DEPLOYED,
29886712,2,4,1,INSTALLED/NOT DEPLOYED,
29892273,1,1,1,INSTALLED/NOT DEPLOYED,
