IncidentId,TrafficControlNo,TrafficControl,
30997483,1,NONE,
31057990,1,MEDIAN,
31067570,1,CENTER LINE,
31067570,2,OFFICER OR FLAGMAN,
31067570,3,STOP SIGN,
31067787,1,NONE,
31069164,1,ADVISORY SPEED SIGN,
31069164,2,CROSSWALK,
31069164,3,STOP & GO SIGNAL,
31069291,1,MEDIAN,
31086756,1,CENTER LINE,
31086756,2,CROSSWALK,
31086756,3,FLASHING LIGHT,
31089412,1,MEDIAN,
31089437,1,MEDIAN,
31089437,2,ADVISORY SPEED SIGN,
31100643,1,NONE,
31100659,1,NONE,
31100689,1,MEDIAN,
31100692,1,CENTER LINE,
31116411,1,MEDIAN,
31117260,1,MEDIAN,
31126327,1,NONE,
31141490,1,ADVISORY SPEED SIGN,
31141490,2,CENTER LINE,
31141490,3,NO PASSING ZONE,
31143988,1,MEDIAN,
31150112,1,CENTER LINE,
31150112,2,STOP SIGN,
31152468,1,ADVISORY SPEED SIGN,
31152468,2,STOP & GO SIGNAL,
31175671,1,CENTER LINE,
31177564,1,MEDIAN,
31183207,1,MEDIAN,
31193600,1,MEDIAN,
31204849,1,MEDIAN,
31204858,1,MEDIAN,
31204862,1,CROSSWALK,
31204862,2,STOP & GO SIGNAL,
31204939,1,MEDIAN,
31204998,1,CENTER LINE,
31204998,2,NO PASSING ZONE,
31204998,3,OTHER,
31215638,1,MEDIAN,
31217420,1,CENTER LINE,
31217420,2,CROSSWALK,
31217420,3,OFFICER OR FLAGMAN,
31217420,4,STOP & GO SIGNAL,
31228912,1,STOP & GO SIGNAL,
31233366,1,ADVISORY SPEED SIGN,
31233366,2,FLASHING LIGHT,
31233366,3,MEDIAN,
31233368,1,MEDIAN,
31233368,2,ADVISORY SPEED SIGN,
31233368,3,FLASHING LIGHT,
31233370,1,MEDIAN,
31233370,2,ADVISORY SPEED SIGN,
31234916,1,MEDIAN,
31242750,1,STOP SIGN,
31242769,1,MEDIAN,
31242769,2,ADVISORY SPEED SIGN,
31242895,1,MEDIAN,
31248147,1,MEDIAN,
31248147,2,STOP & GO SIGNAL,
31258296,1,MEDIAN,
31258840,1,MEDIAN,
31261945,1,MEDIAN,
31262213,1,STOP & GO SIGNAL,
31265874,1,CENTER LINE,
31265874,2,CROSSWALK,
31268789,1,ADVISORY SPEED SIGN,
31268789,2,CENTER LINE,
31268789,3,NO PASSING ZONE,
31268947,1,NO PASSING ZONE,
31269994,1,MEDIAN,
31269994,2,ADVISORY SPEED SIGN,
31270884,1,MEDIAN,
31274024,1,CENTER LINE,
31276875,1,CENTER LINE,
31276875,2,OFFICER OR FLAGMAN,
31276875,3,WARNING SIGNS,
31277256,1,MEDIAN,
31277256,2,ADVISORY SPEED SIGN,
31277256,3,WARNING SIGNS,
31281143,1,CROSSWALK,
31281143,2,OFFICER OR FLAGMAN,
31281143,3,STOP SIGN,
31283833,1,CENTER LINE,
31283833,2,OFFICER OR FLAGMAN,
31287459,1,MEDIAN,
31287459,2,ADVISORY SPEED SIGN,
31289142,1,STOP & GO SIGNAL,
31290950,1,CENTER LINE,
31290950,2,WARNING SIGNS,
31294892,1,MEDIAN,
31303319,1,ADVISORY SPEED SIGN,
31303319,2,STOP & GO SIGNAL,
31306014,1,MEDIAN,
31306014,2,ADVISORY SPEED SIGN,
31310556,1,MEDIAN,
31310556,2,ADVISORY SPEED SIGN,
31310556,3,OTHER,
31314237,1,OTHER,
31314237,2,WARNING SIGNS,
31315270,1,ADVISORY SPEED SIGN,
31315270,2,CENTER LINE,
31315270,3,WARNING SIGNS,
31320478,1,MEDIAN,
31322914,1,CENTER LINE,
31322914,2,NO PASSING ZONE,
31322914,3,WARNING SIGNS,
31327211,1,CENTER LINE,
31328001,1,NONE,
31331077,1,MEDIAN,
31336158,1,MEDIAN,
31336158,2,ADVISORY SPEED SIGN,
31336158,3,OTHER,
31338582,1,MEDIAN,
31338582,2,FLASHING LIGHT,
31338582,3,WARNING SIGNS,
31351170,1,CENTER LINE,
31351170,2,NO PASSING ZONE,
31352117,1,STOP & GO SIGNAL,
31352946,1,STOP & GO SIGNAL,
31357011,1,ADVISORY SPEED SIGN,
31357011,2,STOP & GO SIGNAL,
31357493,1,MEDIAN,
31358449,1,ADVISORY SPEED SIGN,
31358449,2,CENTER LINE,
31358449,3,OFFICER OR FLAGMAN,
31369590,1,OFFICER OR FLAGMAN,
31371172,1,STOP & GO SIGNAL,
31373017,1,NONE,
31373871,1,ADVISORY SPEED SIGN,
31373871,2,STOP & GO SIGNAL,
31374624,1,MEDIAN,
31380114,1,MEDIAN,
31380114,2,OTHER,
31383296,1,CENTER LINE,
31383296,2,STOP & GO SIGNAL,
31385162,1,MEDIAN,
31385162,2,ADVISORY SPEED SIGN,
31385162,3,WARNING SIGNS,
31388548,1,MEDIAN,
31388548,2,OTHER,
31388637,1,MEDIAN,
31388637,2,ADVISORY SPEED SIGN,
31388814,1,ADVISORY SPEED SIGN,
31388814,2,STOP SIGN,
31392461,1,OTHER,
31393251,1,MEDIAN,
31393251,2,YIELD SIGN,
31393848,1,CENTER LINE,
31393848,2,OFFICER OR FLAGMAN,
31393848,3,WARNING SIGNS,
31394631,1,MEDIAN,
31399418,1,ADVISORY SPEED SIGN,
31399418,2,FLASHING LIGHT,
31399418,3,WARNING SIGNS,
31400477,1,CENTER LINE,
31400906,1,NONE,
31402676,1,ADVISORY SPEED SIGN,
31402676,2,WARNING SIGNS,
31403467,1,MEDIAN,
31411884,1,CENTER LINE,
31417092,1,WARNING SIGNS,
31418555,1,ADVISORY SPEED SIGN,
31418555,2,CENTER LINE,
31418555,3,STOP & GO SIGNAL,
31418555,4,OFFICER OR FLAGMAN,
31423602,1,MEDIAN,
31423602,2,ADVISORY SPEED SIGN,
31426467,1,CENTER LINE,
31426467,2,STOP & GO SIGNAL,
31429937,1,CENTER LINE,
31429937,2,STOP SIGN,
31429937,3,OTHER,
31437911,1,MEDIAN,
31441959,1,STOP SIGN,
31442377,1,MEDIAN,
31442377,2,ADVISORY SPEED SIGN,
31445065,1,OTHER,
31450618,1,MEDIAN,
31450618,2,OTHER,
31453898,1,NONE,
31460521,1,MEDIAN,
31462582,1,MEDIAN,
31469503,1,ADVISORY SPEED SIGN,
31469503,2,CENTER LINE,
31469503,3,OTHER,
31469503,4,SCHOOL ZONE SIGN,
31469581,1,STOP & GO SIGNAL,
31470541,1,MEDIAN,
31473988,1,OTHER,
