IncidentId,TrafficControlNo,TrafficControl,
27633727,1,CENTER LINE,
27633727,2,OTHER,
27644642,1,MEDIAN,
27657115,1,MEDIAN,
27657830,1,NONE,
27657891,1,STOP & GO SIGNAL,
27661484,1,MEDIAN,
27661484,2,OTHER,
27662939,1,MEDIAN,
27662939,2,ADVISORY SPEED SIGN,
27662943,1,MEDIAN,
27666327,1,CENTER LINE,
27682458,1,ADVISORY SPEED SIGN,
27682458,2,WARNING SIGNS,
27682458,3,YIELD SIGN,
27685188,1,MEDIAN,
27686525,1,MEDIAN,
27686525,2,ADVISORY SPEED SIGN,
27686525,3,OTHER,
27686525,4,WARNING SIGNS,
27687005,1,ADVISORY SPEED SIGN,
27687005,2,CENTER LINE,
27691094,1,MEDIAN,
27691094,2,ADVISORY SPEED SIGN,
27691094,3,WARNING SIGNS,
27692183,1,CENTER LINE,
27693544,1,MEDIAN,
27693544,2,ADVISORY SPEED SIGN,
27699159,1,MEDIAN,
27699159,2,ADVISORY SPEED SIGN,
27700265,1,MEDIAN,
27700265,2,WARNING SIGNS,
27708842,1,NONE,
27710028,1,NONE,
27716573,1,MEDIAN,
27717820,1,MEDIAN,
27726457,1,MEDIAN,
27726993,1,MEDIAN,
27726993,2,OTHER,
27726993,3,WARNING SIGNS,
27731417,1,MEDIAN,
27734462,1,CENTER LINE,
27734462,2,STOP & GO SIGNAL,
27734884,1,MEDIAN,
27747267,1,RR GATES,
27747267,2,RR SIGNS OR SIGNALS,
27747267,3,WARNING SIGNS,
27747267,4,CENTER LINE,
27747422,1,OTHER,
27747422,2,STOP & GO SIGNAL,
27747784,1,CENTER LINE,
27753228,1,CENTER LINE,
27765059,1,OTHER,
27766333,1,MEDIAN,
27766333,2,OTHER,
27768049,1,CENTER LINE,
27768049,2,STOP & GO SIGNAL,
27771768,1,CENTER LINE,
27771768,2,OFFICER OR FLAGMAN,
27772309,1,MEDIAN,
27795926,1,NONE,
27803929,1,STOP & GO SIGNAL,
27805998,1,MEDIAN,
27805998,2,ADVISORY SPEED SIGN,
27805998,3,CENTER LINE,
27805998,4,WARNING SIGNS,
27821738,1,CENTER LINE,
27824449,1,ADVISORY SPEED SIGN,
27824449,2,CENTER LINE,
27829228,1,NONE,
27829632,1,MEDIAN,
27833575,1,MEDIAN,
27833575,2,ADVISORY SPEED SIGN,
27836876,1,NONE,
27857986,1,MEDIAN,
27857986,2,WARNING SIGNS,
27858489,1,MEDIAN,
27863317,1,OFFICER OR FLAGMAN,
27864051,1,MEDIAN,
27864172,1,NONE,
27868833,1,MEDIAN,
27868833,2,ADVISORY SPEED SIGN,
27872269,1,CENTER LINE,
27873210,1,CROSSWALK,
27873210,2,STOP & GO SIGNAL,
27876336,1,MEDIAN,
27876336,2,ADVISORY SPEED SIGN,
27876606,1,CROSSWALK,
27876606,2,MEDIAN,
27876606,3,STOP & GO SIGNAL,
27877027,1,MEDIAN,
27877027,2,CENTER LINE,
27883098,1,NONE,
27890267,1,MEDIAN,
27896132,1,ADVISORY SPEED SIGN,
27896132,2,CENTER LINE,
27896132,3,OFFICER OR FLAGMAN,
27899783,1,MEDIAN,
27899783,2,ADVISORY SPEED SIGN,
27901086,1,MEDIAN,
27904812,1,MEDIAN,
27904812,2,CENTER LINE,
27905589,1,MEDIAN,
27905590,1,MEDIAN,
27905590,2,OFFICER OR FLAGMAN,
27905969,1,ADVISORY SPEED SIGN,
27918680,1,MEDIAN,
27918680,2,ADVISORY SPEED SIGN,
27918680,3,WARNING SIGNS,
27923551,1,MEDIAN,
27923551,2,ADVISORY SPEED SIGN,
27923551,3,CENTER LINE,
27923551,4,WARNING SIGNS,
27923872,1,MEDIAN,
27923872,2,ADVISORY SPEED SIGN,
27923872,3,CENTER LINE,
27923872,4,WARNING SIGNS,
27924693,1,CENTER LINE,
27928216,1,NONE,
27928221,1,ADVISORY SPEED SIGN,
27928221,2,CROSSWALK,
27928221,3,STOP & GO SIGNAL,
27931254,1,MEDIAN,
27931926,1,ADVISORY SPEED SIGN,
27932208,1,CENTER LINE,
27934164,1,OTHER,
27934406,1,ADVISORY SPEED SIGN,
27934406,2,MEDIAN,
27934582,1,MEDIAN,
27939269,1,MEDIAN,
27941539,1,STOP & GO SIGNAL,
27941670,1,ADVISORY SPEED SIGN,
27941670,2,CENTER LINE,
27947197,1,MEDIAN,
27947197,2,ADVISORY SPEED SIGN,
27949388,1,MEDIAN,
27950715,1,ACCELERATIONDECELERATION LANE,
27950715,2,ADVISORY SPEED SIGN,
27950715,3,CENTER LINE,
27950715,4,CURVE SIGN,
27953060,1,ADVISORY SPEED SIGN,
27954733,1,NONE,
27955457,1,ADVISORY SPEED SIGN,
27955457,2,CENTER LINE,
27955457,3,STOP & GO SIGNAL,
27955457,4,WARNING SIGNS,
27958919,1,ADVISORY SPEED SIGN,
27958919,2,OTHER,
27958919,3,WARNING SIGNS,
27960491,1,MEDIAN,
27972287,1,MEDIAN,
27972287,2,ADVISORY SPEED SIGN,
27972287,3,CENTER LINE,
27972328,1,CROSSWALK,
27972328,2,STOP & GO SIGNAL,
27972792,1,MEDIAN,
27975828,1,CROSSWALK,
27975828,2,STOP & GO SIGNAL,
27976626,1,NONE,
27976630,1,CENTER LINE,
27976630,2,OTHER,
27976630,3,WARNING SIGNS,
27977060,1,STOP & GO SIGNAL,
27980953,1,NONE,
27981984,1,MEDIAN,
27984894,1,ADVISORY SPEED SIGN,
27984894,2,CENTER LINE,
27985632,1,NONE,
27985841,1,MEDIAN,
27986139,1,MEDIAN,
27986139,2,WARNING SIGNS,
27989352,1,CENTER LINE,
27989673,1,OFFICER OR FLAGMAN,
27989673,2,STOP & GO SIGNAL,
27989673,3,WARNING SIGNS,
27989673,4,CENTER LINE,
27989994,1,MEDIAN,
27991581,1,CENTER LINE,
27991581,2,OFFICER OR FLAGMAN,
27993776,1,MEDIAN,
27993776,2,OTHER,
27996741,1,ADVISORY SPEED SIGN,
27996741,2,CENTER LINE,
27996741,3,WARNING SIGNS,
28000226,1,MEDIAN,
28000226,2,CENTER LINE,
28000227,1,MEDIAN,
28000227,2,CENTER LINE,
28000369,1,STOP & GO SIGNAL,
28001397,1,MEDIAN,
28001397,2,OTHER,
28002405,1,MEDIAN,
28004201,1,MEDIAN,
28004300,1,MEDIAN,
28004300,2,STOP & GO SIGNAL,
28005121,1,STOP & GO SIGNAL,
28009277,1,CENTER LINE,
28009776,1,MEDIAN,
28009776,2,ADVISORY SPEED SIGN,
28009776,3,OTHER,
28009992,1,MEDIAN,
28009992,2,ADVISORY SPEED SIGN,
28009992,3,OTHER,
28010101,1,ADVISORY SPEED SIGN,
28010101,2,CENTER LINE,
28010101,3,OFFICER OR FLAGMAN,
28010453,1,WARNING SIGNS,
28012087,1,ADVISORY SPEED SIGN,
28012087,2,CENTER LINE,
28013322,1,OFFICER OR FLAGMAN,
28014535,1,MEDIAN,
28014535,2,ADVISORY SPEED SIGN,
28016085,1,CENTER LINE,
28017733,1,MEDIAN,
28018926,1,MEDIAN,
28019445,1,STOP & GO SIGNAL,
28021726,1,CENTER LINE,
28021726,2,STOP SIGN,
28024356,1,NONE,
28026208,1,MEDIAN,
28026208,2,STOP & GO SIGNAL,
28026235,1,STOP & GO SIGNAL,
28026295,1,NONE,
28026303,1,NONE,
28026304,1,STOP & GO SIGNAL,
28026407,1,STOP & GO SIGNAL,
28026426,1,OTHER,
28029561,1,STOP & GO SIGNAL,
28029710,1,STOP & GO SIGNAL,
28032442,1,MEDIAN,
28034177,1,STOP SIGN,
28034752,1,MEDIAN,
28034752,2,OTHER,
28035286,1,CENTER LINE,
28035286,2,OFFICER OR FLAGMAN,
28036084,1,STOP & GO SIGNAL,
28041215,1,NONE,
28042876,1,CENTER LINE,
28042990,1,MEDIAN,
28042990,2,WARNING SIGNS,
28042990,3,YIELD SIGN,
28043009,1,OTHER,
28043076,1,MEDIAN,
28043076,2,ADVISORY SPEED SIGN,
28043076,3,CENTER LINE,
28045119,1,CENTER LINE,
28045119,2,STOP & GO SIGNAL,
28046964,1,NONE,
28047488,1,CENTER LINE,
28047488,2,STOP & GO SIGNAL,
28048069,1,NONE,
28053153,1,CENTER LINE,
28056453,1,ADVISORY SPEED SIGN,
28056453,2,CENTER LINE,
28056453,3,STOP & GO SIGNAL,
28056747,1,CENTER LINE,
28056747,2,OTHER,
28056747,3,STOP & GO SIGNAL,
28056799,1,MEDIAN,
28057494,1,MEDIAN,
