IncidentId,UnitNumber,Factor_Type,Factor,
29540000,1,ENVIRON FACTOR,02,
29540000,1,ENVIRON FACTOR,06,
29540000,2,ENVIRON FACTOR,99,
29556449,1,ENVIRON FACTOR,02,
29556449,1,ENVIRON FACTOR,11,
29572470,1,ENVIRON FACTOR,02,
29572470,2,ENVIRON FACTOR,02,
29577097,1,ENVIRON FACTOR,02,
29577097,1,ENVIRON FACTOR,05,
29577097,2,ENVIRON FACTOR,02,
29583737,1,ENVIRON FACTOR,02,
29583737,2,ENVIRON FACTOR,99,
29584268,1,ENVIRON FACTOR,02,
29584268,2,ENVIRON FACTOR,02,
29589574,1,ENVIRON FACTOR,02,
29589574,1,ENVIRON FACTOR,97,
29596028,2,ENVIRON FACTOR,02,
29596028,2,ENVIRON FACTOR,11,
29596028,3,ENVIRON FACTOR,02,
29596028,3,ENVIRON FACTOR,11,
29596028,1,ENVIRON FACTOR,02,
29596028,1,ENVIRON FACTOR,11,
29604683,1,ENVIRON FACTOR,02,
29604683,2,ENVIRON FACTOR,02,
29621209,1,ENVIRON FACTOR,02,
29621209,2,ENVIRON FACTOR,99,
29624885,1,ENVIRON FACTOR,02,
29624885,2,ENVIRON FACTOR,02,
29628996,1,ENVIRON FACTOR,02,
29628996,2,ENVIRON FACTOR,02,
29631522,1,ENVIRON FACTOR,02,
29631522,2,ENVIRON FACTOR,02,
29645853,1,ENVIRON FACTOR,02,
29645853,2,ENVIRON FACTOR,99,
29706000,1,ENVIRON FACTOR,02,
29706000,2,ENVIRON FACTOR,99,
29710941,1,ENVIRON FACTOR,02,
29710941,2,ENVIRON FACTOR,02,
29719170,1,ENVIRON FACTOR,02,
29719170,2,ENVIRON FACTOR,02,
29719170,3,ENVIRON FACTOR,02,
29725678,1,ENVIRON FACTOR,09,
29725678,1,ENVIRON FACTOR,16,
29725678,2,ENVIRON FACTOR,02,
29754591,1,ENVIRON FACTOR,02,
29754591,2,ENVIRON FACTOR,02,
29777540,1,ENVIRON FACTOR,02,
29777540,2,ENVIRON FACTOR,02,
29783623,1,ENVIRON FACTOR,02,
29786850,1,ENVIRON FACTOR,02,
29787796,1,ENVIRON FACTOR,02,
29787796,2,ENVIRON FACTOR,02,
29793192,1,ENVIRON FACTOR,02,
29793192,1,ENVIRON FACTOR,97,
29793192,2,ENVIRON FACTOR,02,
29798528,1,ENVIRON FACTOR,02,
29798528,2,ENVIRON FACTOR,02,
29806440,1,ENVIRON FACTOR,02,
29806440,2,ENVIRON FACTOR,99,
29812119,1,ENVIRON FACTOR,02,
29812119,2,ENVIRON FACTOR,02,
29830529,1,ENVIRON FACTOR,02,
29831047,1,ENVIRON FACTOR,02,
29831059,1,ENVIRON FACTOR,02,
29831059,1,ENVIRON FACTOR,09,
29831059,2,ENVIRON FACTOR,02,
29831059,2,ENVIRON FACTOR,09,
29833003,1,ENVIRON FACTOR,02,
29833003,2,ENVIRON FACTOR,02,
29835364,1,ENVIRON FACTOR,02,
29835364,2,ENVIRON FACTOR,02,
29835883,1,ENVIRON FACTOR,02,
29835883,2,ENVIRON FACTOR,02,
29842428,1,ENVIRON FACTOR,02,
29842428,2,ENVIRON FACTOR,99,
29846052,1,ENVIRON FACTOR,02,
29846052,1,ENVIRON FACTOR,97,
29846052,2,ENVIRON FACTOR,99,
29846052,3,ENVIRON FACTOR,99,
29846052,4,ENVIRON FACTOR,99,
29846060,1,ENVIRON FACTOR,02,
29846060,2,ENVIRON FACTOR,99,
29848502,1,ENVIRON FACTOR,02,
29848502,2,ENVIRON FACTOR,99,
29869254,1,ENVIRON FACTOR,02,
29869254,2,ENVIRON FACTOR,02,
29869254,3,ENVIRON FACTOR,02,
29869254,4,ENVIRON FACTOR,02,
29882897,1,ENVIRON FACTOR,02,
29882897,2,ENVIRON FACTOR,02,
29886712,1,ENVIRON FACTOR,02,
29886712,2,ENVIRON FACTOR,02,
29892273,1,ENVIRON FACTOR,02,
29892273,2,ENVIRON FACTOR,02,
29893808,1,ENVIRON FACTOR,02,
29893808,2,ENVIRON FACTOR,02,
29913780,1,ENVIRON FACTOR,02,
29913780,1,ENVIRON FACTOR,07,
29913780,2,ENVIRON FACTOR,02,
29913780,2,ENVIRON FACTOR,07,
29915633,1,ENVIRON FACTOR,02,
29981525,2,ENVIRON FACTOR,99,
29982349,1,ENVIRON FACTOR,02,
29982349,2,ENVIRON FACTOR,99,
29983176,1,ENVIRON FACTOR,02,
29983176,2,ENVIRON FACTOR,02,
29991787,1,ENVIRON FACTOR,02,
29991787,2,ENVIRON FACTOR,02,
29993159,1,ENVIRON FACTOR,02,
29993159,2,ENVIRON FACTOR,02,
29993467,1,ENVIRON FACTOR,02,
29993467,2,ENVIRON FACTOR,02,
29996739,1,ENVIRON FACTOR,99,
29996739,2,ENVIRON FACTOR,02,
30007795,1,ENVIRON FACTOR,02,
30014629,1,ENVIRON FACTOR,02,
30014629,2,ENVIRON FACTOR,02,
30016309,1,ENVIRON FACTOR,02,
30016309,2,ENVIRON FACTOR,02,
29540000,1,HUMAN FACTOR,99,
29540000,2,HUMAN FACTOR,99,
29556449,1,HUMAN FACTOR,14,
29556449,1,HUMAN FACTOR,18,
29556449,1,HUMAN FACTOR,19,
29572470,1,HUMAN FACTOR,17,
29572470,2,HUMAN FACTOR,99,
29577097,1,HUMAN FACTOR,97,
29577097,2,HUMAN FACTOR,99,
29583737,1,HUMAN FACTOR,12,
29583737,2,HUMAN FACTOR,99,
29584268,1,HUMAN FACTOR,99,
29584268,2,HUMAN FACTOR,99,
29589574,1,HUMAN FACTOR,99,
29596028,2,HUMAN FACTOR,14,
29596028,3,HUMAN FACTOR,99,
29596028,1,HUMAN FACTOR,14,
29604683,1,HUMAN FACTOR,08,
29604683,2,HUMAN FACTOR,99,
29621209,1,HUMAN FACTOR,18,
29621209,2,HUMAN FACTOR,01,
29624885,1,HUMAN FACTOR,08,
29624885,1,HUMAN FACTOR,11,
29624885,1,HUMAN FACTOR,14,
29624885,2,HUMAN FACTOR,99,
29628996,1,HUMAN FACTOR,11,
29628996,2,HUMAN FACTOR,99,
29631522,1,HUMAN FACTOR,18,
29631522,2,HUMAN FACTOR,99,
29645853,1,HUMAN FACTOR,07,
29645853,1,HUMAN FACTOR,14,
29706000,1,HUMAN FACTOR,26,
29706000,1,HUMAN FACTOR,14,
29706000,1,HUMAN FACTOR,17,
29645853,2,HUMAN FACTOR,99,
29706000,2,HUMAN FACTOR,99,
29710941,1,HUMAN FACTOR,14,
29710941,2,HUMAN FACTOR,99,
29719170,1,HUMAN FACTOR,14,
29719170,2,HUMAN FACTOR,99,
29725678,1,HUMAN FACTOR,13,
29725678,1,HUMAN FACTOR,14,
29725678,1,HUMAN FACTOR,17,
29719170,3,HUMAN FACTOR,99,
29725678,2,HUMAN FACTOR,14,
29725678,2,HUMAN FACTOR,17,
29754591,1,HUMAN FACTOR,99,
29754591,2,HUMAN FACTOR,99,
29777540,1,HUMAN FACTOR,03,
29777540,1,HUMAN FACTOR,14,
29777540,2,HUMAN FACTOR,99,
29783623,1,HUMAN FACTOR,99,
29786850,1,HUMAN FACTOR,99,
29787796,1,HUMAN FACTOR,14,
29787796,2,HUMAN FACTOR,99,
29793192,1,HUMAN FACTOR,97,
29793192,2,HUMAN FACTOR,99,
29798528,1,HUMAN FACTOR,15,
29798528,1,HUMAN FACTOR,16,
29798528,2,HUMAN FACTOR,99,
29806440,1,HUMAN FACTOR,26,
29806440,1,HUMAN FACTOR,17,
29806440,2,HUMAN FACTOR,99,
29812119,1,HUMAN FACTOR,14,
29812119,2,HUMAN FACTOR,99,
29830529,1,HUMAN FACTOR,99,
29831047,1,HUMAN FACTOR,18,
29831059,1,HUMAN FACTOR,14,
29831059,2,HUMAN FACTOR,99,
29833003,1,HUMAN FACTOR,08,
29833003,2,HUMAN FACTOR,99,
29835364,1,HUMAN FACTOR,14,
29835364,2,HUMAN FACTOR,99,
29835883,1,HUMAN FACTOR,03,
29835883,1,HUMAN FACTOR,08,
29835883,1,HUMAN FACTOR,17,
29835883,2,HUMAN FACTOR,99,
29842428,1,HUMAN FACTOR,97,
29842428,2,HUMAN FACTOR,99,
29846052,1,HUMAN FACTOR,18,
29846052,2,HUMAN FACTOR,99,
29846052,3,HUMAN FACTOR,99,
29846052,4,HUMAN FACTOR,99,
29846060,1,HUMAN FACTOR,97,
29846060,2,HUMAN FACTOR,99,
29848502,1,HUMAN FACTOR,14,
29848502,2,HUMAN FACTOR,99,
29869254,1,HUMAN FACTOR,14,
29869254,2,HUMAN FACTOR,99,
29869254,3,HUMAN FACTOR,99,
29869254,4,HUMAN FACTOR,99,
29882897,1,HUMAN FACTOR,99,
29882897,2,HUMAN FACTOR,99,
29886712,1,HUMAN FACTOR,99,
29886712,2,HUMAN FACTOR,99,
29892273,1,HUMAN FACTOR,14,
29892273,1,HUMAN FACTOR,18,
29892273,2,HUMAN FACTOR,99,
29893808,1,HUMAN FACTOR,03,
29893808,1,HUMAN FACTOR,97,
29893808,2,HUMAN FACTOR,99,
29913780,1,HUMAN FACTOR,14,
29913780,2,HUMAN FACTOR,99,
29915633,1,HUMAN FACTOR,02,
29915633,1,HUMAN FACTOR,04,
29915633,2,HUMAN FACTOR,99,
29917013,1,HUMAN FACTOR,03,
29917013,1,HUMAN FACTOR,18,
29917013,2,HUMAN FACTOR,99,
29923409,1,HUMAN FACTOR,10,
29929393,1,HUMAN FACTOR,26,
29929393,1,HUMAN FACTOR,08,
29929393,1,HUMAN FACTOR,17,
29923409,2,HUMAN FACTOR,99,
29929393,2,HUMAN FACTOR,99,
29947895,1,HUMAN FACTOR,97,
29947895,2,HUMAN FACTOR,99,
29950342,1,HUMAN FACTOR,08,
29950342,2,HUMAN FACTOR,99,
29950700,1,HUMAN FACTOR,14,
29950700,2,HUMAN FACTOR,99,
29951438,1,HUMAN FACTOR,99,
29951438,2,HUMAN FACTOR,99,
29953782,2,HUMAN FACTOR,22,
29953782,1,HUMAN FACTOR,26,
29953782,1,HUMAN FACTOR,14,
30016309,3,ENVIRON FACTOR,02,
30022714,1,ENVIRON FACTOR,02,
30022714,2,ENVIRON FACTOR,02,
30023088,1,ENVIRON FACTOR,02,
30023088,2,ENVIRON FACTOR,02,
30025646,1,ENVIRON FACTOR,02,
30026111,1,ENVIRON FACTOR,02,
30026111,1,ENVIRON FACTOR,12,
30026111,2,ENVIRON FACTOR,02,
30026111,2,ENVIRON FACTOR,12,
30026606,1,ENVIRON FACTOR,02,
30026606,2,ENVIRON FACTOR,02,
30028255,1,ENVIRON FACTOR,02,
30041229,1,ENVIRON FACTOR,17,
30041229,1,ENVIRON FACTOR,02,
30041229,2,ENVIRON FACTOR,17,
30041229,2,ENVIRON FACTOR,02,
30045407,1,ENVIRON FACTOR,02,
30045407,1,ENVIRON FACTOR,09,
30045407,2,ENVIRON FACTOR,99,
30048206,1,ENVIRON FACTOR,02,
30048206,2,ENVIRON FACTOR,02,
30050446,1,ENVIRON FACTOR,02,
30050446,1,ENVIRON FACTOR,03,
30050446,2,ENVIRON FACTOR,02,
30050446,2,ENVIRON FACTOR,03,
30050446,3,ENVIRON FACTOR,02,
30050446,3,ENVIRON FACTOR,03,
30054168,1,ENVIRON FACTOR,02,
30054850,1,ENVIRON FACTOR,02,
30054850,2,ENVIRON FACTOR,02,
30055985,1,ENVIRON FACTOR,02,
