IncidentId,TrafficControlNo,TrafficControl,
32658708,1,MEDIAN,
32659228,1,MEDIAN,
32672935,1,MEDIAN,
32676655,1,ADVISORY SPEED SIGN,
32676655,2,CENTER LINE,
32676655,3,WARNING SIGNS,
32682385,1,MEDIAN,
32686833,1,MEDIAN,
32686833,2,ADVISORY SPEED SIGN,
32686833,3,CENTER LINE,
32686843,1,MEDIAN,
32700076,1,MEDIAN,
32700076,2,ADVISORY SPEED SIGN,
32700076,3,STOP & GO SIGNAL,
32702194,1,MEDIAN,
32709294,1,MEDIAN,
32709983,1,MEDIAN,
32709983,2,ADVISORY SPEED SIGN,
32714074,1,MEDIAN,
32716413,1,MEDIAN,
32716413,2,ADVISORY SPEED SIGN,
32717185,1,CENTER LINE,
32717185,2,WARNING SIGNS,
32728816,1,MEDIAN,
32728816,2,CENTER LINE,
32728816,3,ADVISORY SPEED SIGN,
32731794,1,MEDIAN,
32733964,1,NONE,
32733997,1,MEDIAN,
32747062,1,STOP & GO SIGNAL,
32750312,1,MEDIAN,
32750402,1,MEDIAN,
32755079,1,NONE,
32756505,1,MEDIAN,
32757863,1,MEDIAN,
32757948,1,MEDIAN,
32757948,2,ADVISORY SPEED SIGN,
32757948,3,WARNING SIGNS,
32768176,1,MEDIAN,
32768176,2,ADVISORY SPEED SIGN,
32768291,1,MEDIAN,
32770298,1,MEDIAN,
32770580,1,MEDIAN,
32774475,1,MEDIAN,
32775587,1,MEDIAN,
32776771,1,MEDIAN,
32776771,2,OFFICER OR FLAGMAN,
32777994,1,MEDIAN,
32777994,2,CENTER LINE,
32778070,1,MEDIAN,
32779720,1,MEDIAN,
32779720,2,ADVISORY SPEED SIGN,
32787804,1,NO PASSING ZONE,
32788638,1,MEDIAN,
32788638,2,ADVISORY SPEED SIGN,
32788664,1,ADVISORY SPEED SIGN,
32788664,2,WARNING SIGNS,
32788674,1,NONE,
32794984,1,CENTER LINE,
32795317,1,CENTER LINE,
32797962,1,OFFICER OR FLAGMAN,
32800875,1,NONE,
32806149,1,MEDIAN,
32810423,1,MEDIAN,
32810423,2,ADVISORY SPEED SIGN,
32819262,1,MEDIAN,
32820177,1,MEDIAN,
32821422,1,MEDIAN,
32821422,2,ADVISORY SPEED SIGN,
32826965,1,MEDIAN,
32826965,2,CENTER LINE,
32832100,1,NO PASSING ZONE,
32832100,2,WARNING SIGNS,
32832491,1,MEDIAN,
32832491,2,ADVISORY SPEED SIGN,
32840628,1,MEDIAN,
32844492,1,MEDIAN,
32846496,1,STOP SIGN,
32846883,1,MEDIAN,
32852002,1,NONE,
32852416,1,MEDIAN,
32852416,2,ADVISORY SPEED SIGN,
32852416,3,OTHER,
32852416,4,WARNING SIGNS,
32852417,1,NO PASSING ZONE,
32852417,2,OTHER,
32852417,3,WARNING SIGNS,
32857520,1,ADVISORY SPEED SIGN,
32857520,2,CENTER LINE,
32857520,3,OFFICER OR FLAGMAN,
32857830,1,MEDIAN,
32863012,1,MEDIAN,
32863012,2,CENTER LINE,
32863012,3,OFFICER OR FLAGMAN,
32870255,1,ADVISORY SPEED SIGN,
32870255,2,OTHER,
32870255,3,WARNING SIGNS,
32872676,1,CENTER LINE,
32872987,1,NONE,
32878865,1,MEDIAN,
32880874,1,MEDIAN,
32880874,2,OTHER,
32880874,3,WARNING SIGNS,
32882819,1,NONE,
32882832,1,MEDIAN,
32882832,2,ADVISORY SPEED SIGN,
32888031,1,NONE,
32889501,1,NONE,
32889605,1,ADVISORY SPEED SIGN,
32890651,1,MEDIAN,
32890651,2,OFFICER OR FLAGMAN,
32890651,3,WARNING SIGNS,
32891668,1,MEDIAN,
32892624,1,CENTER LINE,
32892624,2,NO PASSING ZONE,
32892624,3,OFFICER OR FLAGMAN,
32893084,1,MEDIAN,
32893084,2,ADVISORY SPEED SIGN,
32893165,1,ADVISORY SPEED SIGN,
32893165,2,NO PASSING ZONE,
32894126,1,MEDIAN,
32894322,1,CENTER LINE,
32894322,2,MEDIAN,
32899838,1,MEDIAN,
32903647,1,NONE,
32906874,1,MEDIAN,
32909108,1,MEDIAN,
32909108,2,ADVISORY SPEED SIGN,
32915773,1,MEDIAN,
32921513,1,NONE,
32921514,1,NONE,
32922019,1,MEDIAN,
32922019,2,OTHER,
32923488,1,MEDIAN,
32923488,2,ADVISORY SPEED SIGN,
32933584,1,MEDIAN,
32943651,1,MEDIAN,
32943651,2,ADVISORY SPEED SIGN,
32943651,3,CENTER LINE,
32943651,4,WARNING SIGNS,
32943735,1,MEDIAN,
32943735,2,OTHER,
32943995,1,CENTER LINE,
32943995,2,MEDIAN,
