IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
33236305,1,HIT & RUN/UNKNOWN,,False,,UN,05,,,,,,,,,,,
33207403,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,02,01,,,,,,,
33287817,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,10,01,,,,,,,
33307522,1,HIT & RUN/UNKNOWN,,False,,UN,05,,False,03,01,,,,,,,
33119026,1,HIT & RUN/UNKNOWN,01,False,,UN,05,,False,05,01,,,,,,,
33174506,3,HIT & RUN/UNKNOWN,01,False,,UN,05,,False,13,01,,,,,,,
33109520,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
32888031,1,HIT & RUN/UNKNOWN,03,False,,UN,05,05,False,05,98,False,,,,,,
32894126,2,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
32810423,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
32659228,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,05,01,,,,,,,
32787804,1,HIT & RUN/UNKNOWN,,False,,UN,46,,False,05,98,False,,,,,,
33049227,1,HIT & RUN/UNKNOWN,03,False,,UN,05,,False,10,01,,,,,,,
32947384,1,HIT & RUN/UNKNOWN,03,True,,UN,05,,False,98,01,,,,,,,
33412232,3,HIT & RUN/UNKNOWN,,False,,UN,05,,,98,,,,,,,,
33400800,3,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,13,01,True,MAZD,CX5,,MAZDA,CX-5,
33400800,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,ACUR,MDX,,ACURA,MDX,
33431421,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),02,False,,DI,05,,False,16,01,True,RAM,250,,RAM,2500,
33313061,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),02,False,,DI,05,,False,05,01,True,CHEV,SLV,,CHEVROLET,SILVERADO,
33336579,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),01,False,,DI,05,,False,05,01,True,JEP,CJ5,,JEEP,CJ5,
33341355,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,UN,05,,False,05,01,,,,,,,
33372158,1,LT TRUCK(VAN/SPORTS UTILITY/PICKUP),03,False,,DI,05,,False,05,01,True,GMC,CRU,,GENERAL MOTORS CORP,SIERRA CREW CAB,
