IncidentID,UnitNumber,UnitType,AirbagSwitchCde,IsCommercialVeh,CrashAvoidCde,DriverIdentifiedCde,EventCollWithFirstCde,EventCollWithSecondCde,HasFire,PreCollActionCde,UnderOverrideCde,VehicleIsInsured,MakeCde,ModelCde,VehicleType,MakeDescription,ModelDescription,
29635624,2,TRUCK TRACTOR & SEMI-TRAILER,03,False,,DI,05,,False,05,01,True,FRHT,,,FREIGHTLINER,,
29706000,1,TRUCK TRACTOR & SEMI-TRAILER,01,True,,UN,05,,False,05,01,,,,,,,
29572470,1,TRUCK TRACTOR & SEMI-TRAILER,01,True,,DI,50,,False,05,01,True,FRHT,,,FREIGHTLINER,,
29978104,1,TRUCK TRACTOR & SEMI-TRAILER,02,True,,UN,05,,False,11,01,,,,,,,
29993159,1,TRUCK TRACTOR & SEMI-TRAILER,,True,,UN,05,,False,05,01,,,,,,,
30457129,2,TRUCK TRACTOR & SEMI-TRAILER,01,True,,DI,05,,False,05,01,True,FRHT,,,FREIGHTLINER,TR,
30492293,2,TRUCK TRACTOR & SEMI-TRAILER,,True,,UN,,,,05,,,,,,,,
30526462,1,TRUCK TRACTOR & SEMI-TRAILER,,True,,UN,05,,,05,01,,,,,,,
30556564,2,TRUCK TRACTOR & SEMI-TRAILER,01,True,,DI,05,,False,05,01,True,FRHT,,,FREIGHTLINER,TR,
30344419,1,TRUCK TRACTOR & SEMI-TRAILER,03,True,,DI,41,,False,01,01,True,MACK,,,MACK TRUCKS INC.,,
30287390,1,TRUCK TRACTOR & SEMI-TRAILER,01,True,,UN,05,,,05,01,,,,,,,
30740916,1,OTHER,03,False,,UN,05,,False,02,01,,,,,,,
30743157,2,OTHER,03,False,,DI,05,,False,05,01,,,,,,,
30800368,1,OTHER,03,False,,DI,05,,False,16,01,,,,,,,
30800368,2,OTHER,03,False,,DI,05,,False,02,01,,,,,,,
30067702,2,OTHER,03,False,,DI,05,,False,97,01,,,,,,,
30148185,1,OTHER,03,True,,DI,05,,False,05,01,,,,,,,
29710941,2,OTHER,01,False,,DL,05,,False,12,01,,,,,,,
30026111,1,OTHER,03,False,,DI,05,,False,02,01,,,,,,,
30605735,1,OTHER,03,False,,DI,05,,False,05,01,,,,,,,
30534533,1,OTHER,03,False,,DI,05,,False,02,01,,,,,,,
30337858,1,OTHER,03,False,,DI,05,,False,05,01,,,,,,,
30645675,1,TRUCK-SINGLE UNIT,01,False,,DI,48,,False,05,01,False,INTL,MVS,2 DOOR,INTERNATIONAL,MV SERIES,
30595735,2,PASSENGER CAR,03,False,,DI,05,,False,16,01,True,FIAT,500,2 DOOR,FIAT,500500L500X,
30507509,2,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
30480837,1,PASSENGER CAR,01,False,,DI,05,,False,03,01,True,CHVL,,2 DOOR,CHEVALLERO MOTOR HOME,CAMARO,
30514023,1,PASSENGER CAR,01,False,,DI,16,,False,05,01,True,CHEV,CAM,2 DOOR,CHEVROLET,CAMARO,
30445175,1,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
30314861,1,PASSENGER CAR,01,False,,DI,41,,False,05,01,False,HOND,ACC,2 DOOR,HONDA,ACCORD,
30377082,1,PASSENGER CAR,01,False,,DI,05,,False,05,01,False,HOND,CIV,2 DOOR,HONDA,CIVIC,
30360736,1,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,VOLK,GTI,2 DOOR,VOLKSWAGEN,GTI,
30411060,1,PASSENGER CAR,03,False,,DI,06,,False,05,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
30064587,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
30091438,2,PASSENGER CAR,01,False,,DI,05,,False,16,01,True,PONT,G5,2 DOOR,PONTIAC,G5,
30036202,2,PASSENGER CAR,03,False,,DL,05,,False,12,01,False,CHEV,MOC,2 DOOR,CHEVROLET,MONTE CARLO,
30057706,2,PASSENGER CAR,01,False,,DI,05,,False,05,01,True,TOYT,SOL,2 DOOR,TOYOTA,SOLARA,
30245275,3,PASSENGER CAR,01,False,,DI,05,,False,13,01,True,CHRY,300,2 DOOR,CHRYSLER,300  SERIES,
30148984,1,PASSENGER CAR,03,False,,DI,05,,False,13,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
29886712,2,PASSENGER CAR,02,False,,DI,05,,False,05,01,True,TOYT,SOL,2 DOOR,TOYOTA,SOLARA,
29970265,1,PASSENGER CAR,01,False,,DI,41,,False,05,01,True,HOND,ACC,2 DOOR,HONDA,ACCORD,
29781084,2,PASSENGER CAR,01,False,,DI,05,05,False,05,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
29593769,2,PASSENGER CAR,03,False,,DI,05,,False,05,01,True,HOND,ACC,2 DOOR,HONDA,ACCORD,
30699491,1,PASSENGER CAR,02,False,,DI,05,,False,10,01,True,NISS,350,2 DOOR,NISSAN,350Z,
29980755,1,PASSENGER CAR,01,False,,DI,06,,False,05,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
30732276,1,PASSENGER CAR,03,False,,DI,05,,False,10,01,True,HOND,ACC,2 DOOR,HONDA,ACCORD,
30651323,1,PASSENGER CAR,03,False,,DI,05,,False,03,01,True,DODG,CHL,2 DOOR,DODGE,CHALLENGER,
30726401,3,PASSENGER CAR,03,False,,DI,05,,False,10,01,True,HOND,CIV,2 DOOR,HONDA,CIVIC,
