IncidentId,UnitNumber,Factor_Type,Factor,
26146419,1,ENVIRON FACTOR,02,
26146419,1,DRIVER DISTRACTED BY,03,
26146419,2,ENVIRON FACTOR,02,
26168678,1,ENVIRON FACTOR,02,
26168678,2,ENVIRON FACTOR,02,
26177950,1,ENVIRON FACTOR,02,
26191024,1,ENVIRON FACTOR,02,
26191024,2,ENVIRON FACTOR,02,
26193888,1,ENVIRON FACTOR,02,
26208265,1,ENVIRON FACTOR,02,
26208265,2,ENVIRON FACTOR,99,
26208265,3,ENVIRON FACTOR,99,
26217422,1,ENVIRON FACTOR,02,
26217422,2,ENVIRON FACTOR,09,
26220770,1,ENVIRON FACTOR,02,
26220770,2,ENVIRON FACTOR,02,
26255746,1,ENVIRON FACTOR,17,
26255746,1,ENVIRON FACTOR,02,
26255746,2,ENVIRON FACTOR,17,
26255746,2,ENVIRON FACTOR,02,
26283500,1,ENVIRON FACTOR,09,
26283500,1,ENVIRON FACTOR,16,
26283500,2,ENVIRON FACTOR,02,
26283500,2,ENVIRON FACTOR,09,
26294457,1,ENVIRON FACTOR,02,
26294457,1,ENVIRON FACTOR,97,
26294457,2,ENVIRON FACTOR,99,
26295343,1,ENVIRON FACTOR,02,
26296674,1,ENVIRON FACTOR,17,
26296674,1,ENVIRON FACTOR,02,
26296674,2,ENVIRON FACTOR,17,
26296674,2,ENVIRON FACTOR,02,
26296674,3,ENVIRON FACTOR,17,
26296674,3,ENVIRON FACTOR,02,
26296674,4,ENVIRON FACTOR,17,
26296674,4,ENVIRON FACTOR,02,
26307240,1,ENVIRON FACTOR,02,
26307240,2,ENVIRON FACTOR,02,
26312732,1,ENVIRON FACTOR,02,
26312732,1,ENVIRON FACTOR,97,
26315521,1,ENVIRON FACTOR,02,
26315521,2,ENVIRON FACTOR,02,
26318843,1,ENVIRON FACTOR,02,
26318843,2,ENVIRON FACTOR,02,
26329806,1,ENVIRON FACTOR,02,
26329806,1,ENVIRON FACTOR,12,
26329806,2,ENVIRON FACTOR,02,
26329806,2,ENVIRON FACTOR,12,
26330284,1,ENVIRON FACTOR,02,
26330284,1,ENVIRON FACTOR,13,
26330284,2,ENVIRON FACTOR,02,
26330284,2,ENVIRON FACTOR,13,
26350201,1,ENVIRON FACTOR,02,
26350201,2,ENVIRON FACTOR,02,
26350201,2,ENVIRON FACTOR,97,
26351581,1,ENVIRON FACTOR,02,
26351581,2,ENVIRON FACTOR,02,
26390179,1,ENVIRON FACTOR,17,
26390179,1,ENVIRON FACTOR,02,
26390179,2,ENVIRON FACTOR,17,
26394050,1,ENVIRON FACTOR,02,
26394050,2,ENVIRON FACTOR,02,
26394063,1,ENVIRON FACTOR,02,
26394063,2,ENVIRON FACTOR,02,
26395952,1,ENVIRON FACTOR,02,
26403706,2,ENVIRON FACTOR,02,
26403706,1,ENVIRON FACTOR,02,
26418456,1,ENVIRON FACTOR,02,
26418456,2,ENVIRON FACTOR,02,
26431041,1,ENVIRON FACTOR,02,
26431041,2,ENVIRON FACTOR,02,
26466356,1,ENVIRON FACTOR,02,
26466356,1,ENVIRON FACTOR,11,
26466356,2,ENVIRON FACTOR,02,
26479183,1,ENVIRON FACTOR,02,
26479183,1,DRIVER DISTRACTED BY,03,
26479183,2,ENVIRON FACTOR,99,
26492756,1,ENVIRON FACTOR,02,
26498652,1,ENVIRON FACTOR,02,
26498652,2,ENVIRON FACTOR,02,
26499895,1,ENVIRON FACTOR,02,
26499895,2,ENVIRON FACTOR,02,
26499896,1,ENVIRON FACTOR,02,
26499896,2,ENVIRON FACTOR,02,
26509456,1,ENVIRON FACTOR,02,
26530345,1,ENVIRON FACTOR,02,
26530345,2,ENVIRON FACTOR,02,
26530345,3,ENVIRON FACTOR,02,
26538904,1,ENVIRON FACTOR,02,
26538904,2,ENVIRON FACTOR,99,
26539731,1,ENVIRON FACTOR,02,
26539731,2,ENVIRON FACTOR,02,
26543517,2,ENVIRON FACTOR,02,
26543517,3,ENVIRON FACTOR,02,
26544905,1,ENVIRON FACTOR,02,
26554412,1,ENVIRON FACTOR,02,
26554412,2,ENVIRON FACTOR,02,
26554805,1,ENVIRON FACTOR,02,
26561370,1,ENVIRON FACTOR,02,
26563511,1,ENVIRON FACTOR,02,
26563511,2,ENVIRON FACTOR,02,
26568503,1,ENVIRON FACTOR,02,
26568503,2,ENVIRON FACTOR,99,
26570804,1,ENVIRON FACTOR,02,
26570804,2,ENVIRON FACTOR,02,
26587556,1,ENVIRON FACTOR,02,
26587556,2,ENVIRON FACTOR,02,
26588079,1,ENVIRON FACTOR,02,
26588079,2,ENVIRON FACTOR,02,
26599472,1,ENVIRON FACTOR,02,
26599472,2,ENVIRON FACTOR,02,
26599472,3,ENVIRON FACTOR,02,
26600649,1,ENVIRON FACTOR,02,
26602257,1,ENVIRON FACTOR,02,
26602257,2,ENVIRON FACTOR,99,
26608463,1,ENVIRON FACTOR,02,
26608463,2,ENVIRON FACTOR,99,
26617074,1,ENVIRON FACTOR,02,
26146419,1,HUMAN FACTOR,04,
26146419,1,VEHICULAR FACTOR,99,
26146419,2,HUMAN FACTOR,99,
26146419,2,VEHICULAR FACTOR,99,
26168678,1,HUMAN FACTOR,11,
26168678,1,VEHICULAR FACTOR,99,
26168678,2,HUMAN FACTOR,99,
26168678,2,VEHICULAR FACTOR,99,
26177950,1,HUMAN FACTOR,99,
26177950,1,VEHICULAR FACTOR,99,
26191024,1,HUMAN FACTOR,14,
26191024,1,VEHICULAR FACTOR,99,
26191024,2,HUMAN FACTOR,99,
26191024,2,VEHICULAR FACTOR,99,
26193888,1,HUMAN FACTOR,99,
26193888,1,VEHICULAR FACTOR,99,
26208265,1,HUMAN FACTOR,11,
26208265,1,HUMAN FACTOR,18,
26208265,1,VEHICULAR FACTOR,99,
26208265,2,HUMAN FACTOR,11,
26208265,2,VEHICULAR FACTOR,99,
26208265,3,HUMAN FACTOR,99,
26208265,3,VEHICULAR FACTOR,99,
26217422,1,HUMAN FACTOR,99,
26217422,1,VEHICULAR FACTOR,99,
26217422,2,HUMAN FACTOR,99,
26217422,2,VEHICULAR FACTOR,99,
26220770,1,HUMAN FACTOR,11,
26220770,1,VEHICULAR FACTOR,99,
26220770,2,HUMAN FACTOR,99,
26220770,2,VEHICULAR FACTOR,99,
26255746,1,HUMAN FACTOR,11,
26255746,1,HUMAN FACTOR,14,
26255746,1,VEHICULAR FACTOR,99,
26255746,2,HUMAN FACTOR,99,
26255746,2,VEHICULAR FACTOR,99,
26283500,1,HUMAN FACTOR,99,
26283500,1,VEHICULAR FACTOR,99,
26283500,2,HUMAN FACTOR,99,
26283500,2,VEHICULAR FACTOR,99,
26294457,1,HUMAN FACTOR,26,
26294457,1,HUMAN FACTOR,08,
26294457,1,HUMAN FACTOR,14,
26294457,1,VEHICULAR FACTOR,99,
26294457,2,HUMAN FACTOR,99,
26295343,1,HUMAN FACTOR,14,
26295343,1,HUMAN FACTOR,18,
26295343,1,VEHICULAR FACTOR,99,
26296674,1,HUMAN FACTOR,11,
26296674,1,HUMAN FACTOR,14,
26296674,1,VEHICULAR FACTOR,99,
26296674,2,HUMAN FACTOR,99,
26296674,2,VEHICULAR FACTOR,99,
26296674,3,HUMAN FACTOR,99,
26296674,3,VEHICULAR FACTOR,99,
26296674,4,HUMAN FACTOR,99,
26296674,4,VEHICULAR FACTOR,99,
26307240,2,HUMAN FACTOR,99,
26307240,2,VEHICULAR FACTOR,99,
26312732,1,HUMAN FACTOR,18,
26312732,1,VEHICULAR FACTOR,97,
26315521,2,HUMAN FACTOR,99,
26315521,2,VEHICULAR FACTOR,99,
26318843,1,HUMAN FACTOR,11,
26318843,1,VEHICULAR FACTOR,99,
26318843,2,HUMAN FACTOR,99,
26318843,2,VEHICULAR FACTOR,99,
26329806,1,HUMAN FACTOR,11,
26329806,1,HUMAN FACTOR,17,
26329806,1,VEHICULAR FACTOR,99,
26329806,2,HUMAN FACTOR,99,
26329806,2,VEHICULAR FACTOR,99,
26330284,1,HUMAN FACTOR,11,
26330284,1,VEHICULAR FACTOR,99,
26330284,2,HUMAN FACTOR,99,
26330284,2,VEHICULAR FACTOR,99,
26350201,1,HUMAN FACTOR,17,
26350201,1,VEHICULAR FACTOR,99,
26350201,2,HUMAN FACTOR,99,
26350201,2,VEHICULAR FACTOR,99,
26351581,1,HUMAN FACTOR,11,
26351581,1,VEHICULAR FACTOR,99,
26351581,2,HUMAN FACTOR,99,
26351581,2,VEHICULAR FACTOR,99,
26390179,1,HUMAN FACTOR,11,
26390179,1,VEHICULAR FACTOR,99,
26390179,2,HUMAN FACTOR,99,
26390179,2,VEHICULAR FACTOR,99,
26394050,1,HUMAN FACTOR,11,
